,Date,HD,PDR,VAR,AVG,VAR70,VAR85,VAR99
188,9/30/2020,277.709991,0.02037103,0.001000973,0.001247322,267.81461702262715,263.5112368822351,252.95299113218755
189,10/1/2020,277.619995,-0.000324117,0.00099569,0.001239007,273.34031879266075,268.9534322955997,258.2096494725834
190,10/2/2020,279.309998,0.006069015,0.000990571,0.001264428,273.2737197048422,268.8859123043072,258.1564517921297
191,10/5/2020,282.100006,0.00993937,0.000985777,0.001309847,274.9702529819545,270.5780627410615,259.7855333206089
192,10/6/2020,276.470001,-0.02015932,0.000983031,0.001198028,277.7213109508501,273.29831185169803,262.4170951144871
193,10/7/2020,282.790009,0.022602285,0.000980299,0.001308931,272.18236885553563,267.82187796017297,257.2261972450046
194,10/8/2020,284.519989,0.006098907,0.000975364,0.001333622,278.410030902785,273.9850476482463,263.10793344272605
195,10/9/2020,285.920013,0.004908586,0.000970427,0.001351955,280.1329390521055,275.718447335671,264.8157072231529
196,10/12/2020,286.910004,0.003456495,0.000965498,0.001362692,281.54134854247053,277.08492131154986,266.16648072283624
197,10/13/2020,290.359985,0.011952889,0.000961164,0.00141645,282.5362168324644,278.0644337462525,267.17826521781734
198,10/14/2020,287.089996,-0.011325739,0.000957125,0.001352095,285.95063534284094,281.444396475911,270.4662280851037
199,10/15/2020,287.540009,0.001566271,0.000952316,0.001353171,282.7288779969865,278.2858150306383,267.39524948322514
200,10/16/2020,287.660004,0.000417229,0.000947558,0.001348492,283.17016523943977,278.7373147437135,267.8711817669943
201,10/19/2020,283.730011,-0.013756121,0.000943974,0.001273344,283.3216048891867,278.8938534852347,268.01612301674714
202,10/20/2020,286.040009,0.008108572,0.000939531,0.001307182,279.42238452838984,275.05142451278647,264.36917243295
203,10/21/2020,284.51001,-0.005363255,0.000935121,0.001274323,281.71444872349946,277.31498995944105,266.58833374394663
204,10/22/2020,281.160004,-0.011844521,0.000931376,0.001210015,280.2000630342741,275.84796337646884,265.19341610460026
205,10/23/2020,283.0,0.006522981,0.00092697,0.001235932,276.9148784957721,272.61949907438833,262.1067775409092
206,10/26/2020,276.040009,-0.024901082,0.00092577,0.001109053,278.7279141476185,274.42084993168316,263.833748119142
207,10/27/2020,276.839996,0.002893892,0.000921313,0.001117675,271.85436145046134,267.6609744872187,257.37486780245763
208,10/28/2020,269.720001,-0.02605532,0.000920417,0.000987036,272.635079825862,268.44882226977904,258.14372426063244
209,10/29/2020,269.630005,-0.00033372,0.000916021,0.000980717,265.59750509906866,261.50146655526265,251.48061623149542
210,10/30/2020,266.709991,-0.010888775,0.000912327,0.000924195,265.52220983893534,261.4364445817355,251.43617014472787
211,11/2/2020,270.73999,0.014997022,0.000908937,0.000990891,262.64257606152626,258.62795102005066,248.7164898509401
212,11/3/2020,277.369995,0.024193423,0.000907177,0.001100337,266.63101612076287,262.550476799979,252.5124194810278
213,11/4/2020,282.720001,0.019104675,0.000904433,0.001184864,273.2082368368918,269.01853378903957,258.7919395798198
214,11/5/2020,285.850006,0.011010207,0.000900655,0.001230777,278.4936807411598,274.2487378531531,263.7742382481658
215,11/6/2020,284.23999,-0.005648302,0.000896685,0.001198781,281.60880006965374,277.3124254300813,266.7725308637694
216,11/9/2020,269.970001,-0.051508071,0.000905336,0.000954768,280.0374852958172,275.77724238669026,265.32279943477545
217,11/10/2020,275.570007,0.02053086,0.000902921,0.001044981,265.8870808333022,261.8212572011376,251.79426510814497
218,11/11/2020,277.75,0.007879723,0.000898993,0.001076333,271.41345199329993,267.2706502793842,257.1274884702229
219,11/12/2020,276.23999,-0.005451412,0.000895082,0.001046526,273.5800640908795,269.4143645453861,259.2504189587799
220,11/13/2020,277.170013,0.003361066,0.000891037,0.001057046,272.12535198472335,267.97527984637276,257.8623869346902
221,11/16/2020,279.570007,0.00862165,0.000887263,0.001091275,273.03635556424734,268.8810314591839,258.6953647989323
222,11/17/2020,272.470001,-0.025724214,0.000886491,0.000970485,275.41291350493896,271.2442695472208,261.0931241506702
223,11/18/2020,269.829987,-0.009736437,0.000883027,0.000922472,268.3831393095759,264.3096825675663,254.3526305867281
224,11/19/2020,270.929993,0.004068376,0.000879129,0.000936516,265.7851417950282,261.78660276547447,251.9525274382435
225,11/20/2020,269.809998,-0.004142459,0.000875336,0.000913943,266.89818133853356,262.87649965302046,252.97033632041897
226,11/23/2020,271.399994,0.005875725,0.000871571,0.000935897,265.7817345716181,261.78600064646025,251.9881785354855
227,11/24/2020,273.309998,0.007012949,0.000867894,0.000962669,267.3655684633868,263.36107807642446,253.51678082516386
228,11/25/2020,273.959991,0.002375403,0.000864096,0.000968865,269.24777518780724,265.21698775177083,255.36084035258838
229,11/27/2020,275.98999,0.007382519,0.000860502,0.000996872,269.922883482818,265.8960168860767,255.94237382513697
230,11/30/2020,277.410004,0.005131974,0.000856834,0.001014851,271.9408135260148,267.88243607041295,257.9386130359838
231,12/1/2020,276.600006,-0.00292413,0.000853192,0.000997799,273.3359472662627,269.27502705650875,259.27674493320734
232,12/2/2020,271.100006,-0.020084662,0.000851422,0.000906926,272.5526641583528,268.4967048826944,258.55574780219786
233,12/3/2020,268.140015,-0.010978491,0.000848371,0.000855916,267.1100088987584,263.16176803012235,253.34972646562147
234,12/4/2020,263.98999,-0.015598102,0.000845898,0.000785599,264.1974087166539,260.2951108443964,250.67457059433016
235,12/7/2020,262.640015,-0.005126855,0.000842447,0.00076044,260.0870445990713,256.24106666969124,246.82149555691578
236,12/8/2020,261.720001,-0.003509096,0.000838954,0.000742349,258.7756318465975,254.9483682741776,245.58686190740988
237,12/9/2020,265.579987,0.014640831,0.000836225,0.000800992,257.85986382766043,254.05619217304312,244.70191533363828
238,12/10/2020,264.809998,-0.002903484,0.000832769,0.000785427,261.6743056949579,257.83307427467037,248.37428056408166
239,12/11/2020,264.549988,-0.000982356,0.000829298,0.000778031,260.9352010382892,257.11356485503256,247.72897677654225
240,12/14/2020,265.579987,0.003885841,0.000825883,0.00079098,260.67522403199797,256.85524798836065,247.46011576669827
241,12/15/2020,267.980011,0.008996327,0.000822734,0.000825027,261.6920245553604,257.8618695394631,248.48242953344973
242,12/16/2020,269.589996,0.00598988,0.000819444,0.000846369,264.0806573703334,260.2340492832835,250.79591745792453
243,12/17/2020,273.970001,0.016116343,0.000817027,0.000909209,265.69563111216996,261.83409847181395,252.33252611139224
244,12/18/2020,270.450012,-0.012931332,0.000814461,0.000852485,270.0448730750399,266.1280659650232,256.45295360052273
245,12/21/2020,270.98999,0.0019946,0.000811142,0.000857147,266.57043994783385,262.6923858154258,253.21944526402072
246,12/22/2020,270.040009,-0.003511753,0.000807922,0.000839387,267.0861590690263,263.2249812348537,253.71742582803304
