,Date,INTC,PDR,VAR,AVG,VAR70,VAR85,VAR99
248,12/24/2020,47.07,0.010679298,0.001159977,-0.001034724,45.66854025587502,44.87809850417595,42.93951128500192
249,12/28/2020,47.07,0.0,0.001155323,-0.001030569,46.163644291558846,45.36433144838124,43.407466771198486
250,12/29/2020,49.389999,0.048112099,0.001160323,-0.000833998,46.16360794332265,45.369106706545224,43.42676547050348
251,12/30/2020,48.75,-0.013042757,0.001156291,-0.000882639,48.447232683843744,47.61021296466092,45.55626656818749
252,12/31/2020,49.82,0.021711312,0.001153721,-0.00079298,47.813330840542505,46.99082686442702,44.977617988718016
253,1/4/2021,49.669998,-0.003015421,0.00114918,-0.000801764,48.87366135978698,48.030829681625086,45.95768109365516
254,1/5/2021,50.610001,0.018748116,0.001146154,-0.000724796,48.73046561326459,47.889802283096444,45.83228772331349
255,1/6/2021,51.099998,0.009635253,0.001142079,-0.000684169,49.65410233495416,48.802242316351744,46.710058434765365
256,1/7/2021,52.189999,0.021106428,0.001139465,-0.000599049,50.14098126875705,49.28264823793514,47.17812415212572
257,1/8/2021,51.650002,-0.010400652,0.001135404,-0.000637188,51.2158980091054,50.334970648755814,48.179483094762624
258,1/11/2021,51.540001,-0.00213201,0.001131012,-0.000642982,50.68134182411197,49.816942988548625,47.692850744557965
259,1/12/2021,53.240002,0.032451806,0.001130857,-0.000515202,50.57673548402998,49.71287232719014,47.6056294099756
260,1/13/2021,56.950001,0.067363676,0.001144161,-0.00025413,52.2525950344666,51.36187018758598,49.18518100122891
261,1/14/2021,59.25,0.039592073,0.001145837,-0.000101462,55.90107669583055,54.93969188067527,52.60655297337693
262,1/15/2021,57.580002,-0.02859046,0.00114455,-0.000210199,58.173576035523425,57.17459869195046,54.72914590395135
263,1/19/2021,57.990002,0.007095296,0.0011404,-0.000182422,56.525900131966544,55.55552428388858,53.17671022357783
264,1/20/2021,58.669998,0.011657872,0.001136609,-0.000137572,56.92691921387853,55.95390433298987,53.57267247960661
