,Date,BA,PDR,VAR,AVG,VAR70,VAR85,VAR99
152,8/10/2020,179.410004,0.053757611,0.004414164,-0.004075193,163.10847498981278,157.65166715470787,144.74429519638343
153,8/11/2020,180.130005,0.004005128,0.004385737,-0.00402238,172.18105463317897,166.41707600999854,152.74131154532134
154,8/12/2020,175.440002,-0.026381725,0.004360484,-0.004167571,172.90167339155545,167.1353074007889,153.49831551173963
155,8/13/2020,174.729996,-0.004055213,0.004332352,-0.004166846,168.404540307183,162.8072501946344,149.45338635132427
156,8/14/2020,178.080002,0.018990996,0.004307996,-0.004018398,167.71301426286908,162.18422625515856,148.96114139731486
157,8/17/2020,172.009995,-0.034680313,0.004286507,-0.004213697,170.99367783504826,165.3561709218806,151.92131713954976
158,8/18/2020,170.229996,-0.010402145,0.004259618,-0.004252864,165.13276983930143,159.6733617980101,146.7593599388472
159,8/19/2020,169.270004,-0.005655343,0.00423284,-0.004261685,163.46604910881467,158.0759695137815,145.36899192376552
160,8/20/2020,169.580002,0.001829707,0.004206615,-0.004223614,162.55216702022364,157.24273746951147,144.60207422390846
161,8/21/2020,167.5,-0.012341452,0.004180894,-0.004274035,162.89500779713114,157.57911988267378,144.89023879596513
162,8/24/2020,178.270004,0.062315926,0.004182289,-0.003862986,160.89938037243087,155.65586506359895,143.19435224300005
163,8/25/2020,174.729996,-0.020057375,0.00415823,-0.003962338,171.28516816586165,165.7033450400565,152.41490390890584
164,8/26/2020,171.899994,-0.016329025,0.004133801,-0.004037745,167.91457489617946,162.46092608736413,149.43454523904654
165,8/27/2020,174.199997,0.01329117,0.004110557,-0.003932721,165.17838178522592,159.8198838908859,147.08552802503857
166,8/28/2020,175.800003,0.009142955,0.004086818,-0.003853952,167.41562365768323,162.01059604017863,149.12447137961982
167,8/31/2020,171.820007,-0.022899544,0.004064505,-0.003967997,169.0101435420959,163.59088022708974,150.65334087577597
168,9/1/2020,172.100006,0.00162828,0.004040497,-0.003934686,165.1788335633272,159.86593814687097,147.2140647420074
169,9/2/2020,174.779999,0.015452296,0.0040188,-0.00381997,165.4590805978786,160.1522352646441,147.54005241773305
170,9/3/2020,168.770004,-0.03499117,0.004000842,-0.00400333,168.0709215303193,162.66888633852798,149.92007716524577
171,9/4/2020,171.050003,0.013419064,0.00397921,-0.003901445,162.2771172058606,157.10409013002632,144.71516064750244
172,9/8/2020,161.080002,-0.060054781,0.003974301,-0.004227918,164.51236871513922,159.29084876059585,146.8152760980455
173,9/9/2020,160.779999,-0.001864184,0.00395136,-0.004214255,154.87436622571875,149.9413870116469,138.21939529244773
174,9/10/2020,157.690002,-0.019405872,0.00392997,-0.004301563,154.58042266981013,149.68423293460407,138.02472202114967
175,9/11/2020,160.229996,0.015979165,0.00390985,-0.004185673,151.62447211021467,146.83641980840306,135.43594232922064
176,9/14/2020,165.350006,0.031454218,0.003894811,-0.003983173,154.09939822962838,149.2426688423835,137.75207372614594
177,9/15/2020,163.490005,-0.011312619,0.003873108,-0.004024583,159.07136927276153,154.0759697030403,142.13594450835308
178,9/16/2020,167.460007,0.023992702,0.003855734,-0.003867182,157.3127223507022,152.40085815465216,140.6622636507584
179,9/17/2020,167.529999,0.000417875,0.003834296,-0.003843243,161.16850961737887,156.13337229898661,144.1818743984236
180,9/18/2020,161.139999,-0.038888888,0.003819779,-0.004037941,161.2405066581313,156.20992594177955,144.22423605944545
181,9/21/2020,156.350006,-0.030176424,0.003802429,-0.004182353,155.0894933142152,150.25336417136845,138.80345577472087
182,9/22/2020,156.800003,0.002874005,0.003781809,-0.004143582,150.44403671398376,145.76013299079418,134.57847727517733
183,9/23/2020,151.179993,-0.036499993,0.003766833,-0.004320393,150.90716278973264,146.22332332966292,135.05597519767653
184,9/24/2020,146.050003,-0.034522084,0.003751292,-0.004484532,145.47106465456386,140.97737142470555,130.2084489634123
185,9/25/2020,156.029999,0.066099241,0.003757799,-0.004102998,140.53616742945024,136.1916661235281,125.8458926989208
186,9/28/2020,166.080002,0.062421322,0.003761261,-0.003745341,150.19979377891306,145.56584928416737,134.51562423136284
187,9/29/2020,163.600006,-0.015045151,0.003741826,-0.003805768,159.94326459340942,154.99072403930236,143.22651397904966
188,9/30/2020,165.259995,0.0100955,0.003722945,-0.003731825,157.52642425622915,152.6630375061859,141.11784319360368
189,10/1/2020,167.860001,0.015610344,0.003705216,-0.003629485,159.15530273885582,154.2694492948217,142.5654244831902
190,10/2/2020,168.080002,0.001309764,0.003685843,-0.003603489,161.6890090175428,156.71738873525524,144.89081867987565
191,10/5/2020,171.199997,0.018392378,0.003669065,-0.003488328,161.91268173233047,156.95852431911723,145.12985270346854
192,10/6/2020,159.539993,-0.070537816,0.003673248,-0.003837544,164.98378471015883,159.91120423510438,147.92060767648866
193,10/7/2020,164.610001,0.031284415,0.003660574,-0.003655565,153.68181304708838,148.98572729574042,137.80935613662925
194,10/8/2020,168.0,0.020384934,0.003644669,-0.003531644,158.5965376030693,153.76495941577141,142.18552938649188
195,10/9/2020,167.330002,-0.003996057,0.003625979,-0.003534026,161.88479624915786,156.95150500113522,145.17653549942455
196,10/12/2020,167.350006,0.000119541,0.003607547,-0.003515385,161.26450411860594,156.38531922818254,144.74563009675552
