,Date,MCK,PDR,VAR,AVG,VAR70,VAR85,VAR99
201,10/19/2020,152.419998,-0.027501815,0.000914456,0.000469645,154.22682767299466,151.852197993984,146.0479113326329
202,10/20/2020,153.039993,0.004059424,0.000909993,0.000487416,150.02959441402416,147.71238702854365,142.04876705091618
203,10/21/2020,152.619995,-0.00274814,0.000905561,0.000471477,150.63059793570346,148.3271779183691,142.68130950367802
204,10/22/2020,154.229996,0.01049383,0.000901612,0.000520607,150.227799264587,147.92863535127438,142.2932443738288
205,10/23/2020,156.410004,0.014035821,0.000898101,0.000586534,151.84379964244755,149.5176744769777,143.85026992648437
206,10/26/2020,152.270004,-0.026825503,0.000897371,0.000453466,153.99969555278415,151.65770265285428,145.88135521039018
207,10/27/2020,149.210007,-0.020300531,0.000895107,0.000353205,149.90866233701155,147.6154263150527,142.01932725700922
208,10/28/2020,144.100006,-0.034847212,0.000896732,0.000183973,146.86624989579963,144.63286553530722,139.1491959267756
209,10/29/2020,143.789993,-0.002153691,0.000892467,0.000172788,141.81783667419526,139.655663323081,134.34977513061088
210,10/30/2020,147.490005,0.025406558,0.000891235,0.000292948,141.51571910823094,139.3691193428231,134.07930537604938
211,11/2/2020,152.029999,0.030317452,0.000891263,0.000435245,145.1813751237455,142.9748130402969,137.5923376903893
212,11/3/2020,160.009995,0.051158419,0.000899138,0.000674505,149.66077497486697,147.3954308364975,141.83565164194547
213,11/4/2020,166.039993,0.036992399,0.00090108,0.000845011,157.5535757941042,155.1527321791073,149.26234016936576
214,11/5/2020,170.949997,0.029142418,0.000900594,0.000977242,163.51749331063826,161.02816169041466,154.91695152936825
215,11/6/2020,170.919998,-0.000175499,0.000896411,0.000971881,168.3838072492385,165.810483072294,159.51935374486433
216,11/9/2020,178.509995,0.043448995,0.000900575,0.001168534,168.35478892865478,165.79677260389548,159.5214655028371
217,11/10/2020,183.440002,0.027243055,0.000899544,0.001288693,175.86215282888702,173.16683952326431,166.5858910877399
218,11/11/2020,177.809998,-0.031172096,0.000900229,0.00113979,180.71557111982654,177.95336088613718,171.2371743834527
219,11/12/2020,177.940002,0.000730873,0.000896119,0.001137923,175.1423683174458,172.47519368036265,165.91032327556243
220,11/13/2020,182.990005,0.027985108,0.000895307,0.001259956,175.29290507514645,172.62452076177442,166.1286387263133
221,11/16/2020,183.660004,0.00365471,0.000891282,0.001270792,180.28098519934912,177.5403816782283,170.81503509363415
222,11/17/2020,173.639999,-0.056102059,0.000902027,0.001012356,180.9612560278675,178.20956632177956,171.49699622619616
223,11/18/2020,176.529999,0.016506643,0.000899054,0.001081837,171.03091461670834,168.42900778934444,162.04883384212644
224,11/19/2020,171.940002,-0.026345238,0.000898384,0.000959394,173.88641887286133,171.24331763507627,164.7365874083178
225,11/20/2020,169.869995,-0.012112181,0.000895147,0.000901299,169.35138076378914,166.76587953611968,160.44761230599642
226,11/23/2020,173.479996,0.021028887,0.000892971,0.000990359,167.3020359961699,164.7522138979444,158.51207154171144
227,11/24/2020,179.75,0.035504701,0.000894262,0.001142404,170.86934776166675,168.27793943270635,161.91545817038897
228,11/25/2020,179.5,-0.001391789,0.000890368,0.001131289,177.0786941136182,174.39121804457736,167.80218417073672
229,11/27/2020,180.0,0.002781643,0.000886491,0.001138496,176.84266129655074,174.15353695251244,167.5813878861058
230,11/30/2020,179.910004,-0.000500103,0.000882649,0.001131372,177.33067442952517,174.64632609476618,168.0638784799148
231,12/1/2020,179.0,-0.005070942,0.000878993,0.001104522,177.24684045880025,174.572609797419,167.99671504015447
232,12/2/2020,180.850006,0.010282186,0.000875566,0.001144081,176.3557977943094,173.6931267651319,167.18034875510028
233,12/3/2020,179.160004,-0.009388708,0.000872282,0.001098876,178.1920531443937,175.52012810319357,168.9151682484503
234,12/4/2020,180.759995,0.008890873,0.000868813,0.001132175,176.52653739659107,173.87443051429514,167.3595807330442
235,12/7/2020,178.259995,-0.013927026,0.000866077,0.001068093,178.11874796525174,175.4619513781965,168.90770048511106
236,12/8/2020,180.419998,0.012044324,0.000862915,0.001114603,175.64271642502987,173.01522386889908,166.57136792275088
237,12/9/2020,178.679993,-0.009690998,0.000859765,0.001069009,177.78162198723868,175.12622642031184,168.6369643915656
238,12/10/2020,177.679993,-0.005612317,0.000856339,0.001040937,176.0788974523506,173.45434069442052,166.98484826894787
239,12/11/2020,174.660004,-0.01714289,0.000854134,0.000964854,175.08740579728334,172.47892727104116,166.05327773171544
240,12/14/2020,172.330002,-0.013429995,0.000851435,0.000904875,172.0928289478891,169.53554339753452,163.27378901229952
241,12/15/2020,173.080002,0.004342672,0.000847951,0.00091914,169.79812374632596,167.2775815758185,161.10420177602307
242,12/16/2020,172.350006,-0.004226599,0.000844556,0.000897876,170.530854626945,168.00299236231297,161.815351662863
243,12/17/2020,172.910004,0.003243923,0.000841103,0.000907531,169.82316678350728,167.31972859335374,161.17382087044896
244,12/18/2020,173.550003,0.003694509,0.000837687,0.000918953,170.37847553842545,167.8766369682525,161.67722376087565
245,12/21/2020,171.419998,-0.012349086,0.000834984,0.000864798,171.01916470672887,168.4933265777897,162.3376970210398
246,12/22/2020,170.009995,-0.008259444,0.000831927,0.000827707,168.92019803334748,166.44171379385406,160.3344403288351
247,12/23/2020,170.070007,0.000352929,0.00082856,0.000825785,167.5249589521212,165.05829038624455,159.05392474723038
248,12/24/2020,170.779999,0.004166014,0.000825263,0.000839254,167.59842029508806,165.14854625792708,159.10315727582346
249,12/28/2020,174.320007,0.020516558,0.000823498,0.000918279,168.30765107325348,165.86009276885318,159.80277853994988
250,12/29/2020,174.179993,-0.000803524,0.000820216,0.000911392,171.794544843762,169.28689864741074,163.11669168682923
251,12/30/2020,173.419998,-0.004372821,0.000817059,0.000890339,171.66995903901233,169.17450197551526,163.04118193885316
