,Date,HPQ,PDR,VAR,AVG,VAR70,VAR85,VAR99
226,11/23/2020,21.190001,0.035546488,0.001328161,8.43e-05,20.048145260190054,19.6767796998084,18.773729331860565
227,11/24/2020,21.75,0.026084338,0.001325275,0.000198862,20.77560411790417,20.392191373714198,19.452981289846022
228,11/25/2020,22.25,0.022728251,0.001321679,0.000297675,21.330099203265206,20.935021393182502,19.973147653204823
229,11/27/2020,22.27,0.000898473,0.001315909,0.000300298,21.820132181912268,21.418782400185645,20.438394109401806
230,11/30/2020,21.93,-0.015384919,0.001311252,0.000232102,21.839862047537522,21.43855410806627,20.462489757410957
231,12/1/2020,22.379999,0.020312096,0.001307314,0.000319028,21.50815452248389,21.11418172732562,20.15233124386134
232,12/2/2020,22.82,0.019469686,0.001303253,0.000401574,21.952285166633153,21.549737366607253,20.569689307007184
233,12/3/2020,23.24,0.018237588,0.001299019,0.000478124,22.38710768004254,21.976513447940754,20.979155141993477
234,12/4/2020,23.780001,0.022970001,0.00129562,0.000574243,22.80156977981576,22.384913895872874,21.370464745654253
235,12/7/2020,23.68,-0.004214123,0.001290204,0.000553867,23.332728436147242,22.906928783501478,21.86833515985346
236,12/8/2020,23.52,-0.006779687,0.001284964,0.000522792,23.23646734999244,22.812927020243997,21.780546961629792
237,12/9/2020,23.190001,-0.014129929,0.001280444,0.000460966,23.07803162596251,22.658103381007376,21.638613272555133
238,12/10/2020,23.17,-0.000862856,0.001275072,0.000455404,22.755921122058734,22.342388500782878,21.33494310512734
239,12/11/2020,23.110001,-0.002592871,0.001269775,0.00044265,22.737116910571878,22.325034757837443,21.32192147013387
240,12/14/2020,23.209999,0.00431771,0.001264547,0.000458796,22.678940606791173,22.268550711725243,21.26575896176579
241,12/15/2020,23.709999,0.021313681,0.001261097,0.000545331,22.77919687477977,22.36779673956132,21.363641976487738
242,12/16/2020,23.98,0.011323292,0.001256364,0.000589868,23.26988757731932,22.849432320172166,21.826000044737793
243,12/17/2020,24.219999,0.009958547,0.001251553,0.000628422,23.536065000781495,23.112431332221117,22.077964884320977
244,12/18/2020,24.459999,0.009860393,0.001246772,0.000666258,23.774105115394416,23.346766479253674,22.307425709911534
245,12/21/2020,24.0,-0.018985259,0.001243253,0.000586048,24.012530024489504,23.58242646717047,22.536534887475526
246,12/22/2020,24.16,0.006644543,0.001238348,0.000610676,23.558348667902557,23.135829676666894,22.108951769458283
247,12/23/2020,24.209999,0.002067357,0.001233343,0.000616573,23.7170637582232,23.293290135091226,22.26051349352687
248,12/24/2020,24.26,0.002063174,0.001228378,0.000622406,23.769567463919973,23.346276763917125,22.314048561111402
249,12/28/2020,24.27,0.000412116,0.001223445,0.000621562,23.818171057544543,23.395967750045507,22.361694292699536
250,12/29/2020,24.049999,-0.009106065,0.001218928,0.000582651,23.82792602350642,23.40527873462458,22.36970812859039
251,12/30/2020,24.32,0.011164102,0.001214516,0.000624808,23.612514144572074,23.194668196800087,22.173700850125304
252,12/31/2020,24.59,0.011040799,0.001210125,0.000666142,23.878961137650116,23.456044559568447,22.423583273082073
253,1/4/2021,24.110001,-0.019713123,0.001206977,0.000585591,24.14632116608051,23.721164312855812,22.682758814731955
254,1/5/2021,24.459999,0.014412356,0.001202975,0.000640027,23.67104998338979,23.254648302432827,22.23808783780536
255,1/6/2021,24.959999,0.020235414,0.001199758,0.000716872,24.019790972497844,23.59657428675245,22.563876749708054
256,1/7/2021,25.75,0.031160124,0.001198677,0.000835791,24.51361338708974,24.081196504566705,23.030454358796657
257,1/8/2021,25.530001,-0.008580357,0.001194357,0.000799152,25.29267972915324,24.846300313592312,23.76500508586451
258,1/11/2021,25.780001,0.009744766,0.001190036,0.000833825,25.07626837450685,24.637388511762992,23.55876396548466
259,1/12/2021,25.91,0.005029958,0.001185509,0.000850026,25.324834617281795,24.88219380517203,23.794180928588453
260,1/13/2021,25.709999,-0.007749012,0.001181233,0.000816953,25.453659735902725,25.00790923512329,23.915924841822306
261,1/14/2021,25.620001,-0.003506647,0.001176779,0.000800388,25.25699299369105,24.816707863124027,23.743656497697845
262,1/15/2021,25.17,-0.017720526,0.001173591,0.000729697,25.168723690152362,24.72964564806231,23.663323222927517
263,1/19/2021,25.139999,-0.001192646,0.001169143,0.000722388,24.72517586448039,24.295755848105248,23.240888751356785
264,1/20/2021,25.200001,0.002383871,0.001164725,0.000728681,24.697908326311754,24.26971571112721,23.222150194631208
265,1/21/2021,25.360001,0.006329135,0.001160448,0.000749815,24.75648161543571,24.327195301396465,23.275541407869266
266,1/22/2021,25.27,-0.003555248,0.001156154,0.000733631,24.9152411732024,24.486212255282965,23.43561392281059
