,Date,AXP,PDR,VAR,AVG,VAR70,VAR85,VAR99
185,9/25/2020,96.260002,0.008450366,0.001809432,-0.001448853,93.12262489032368,91.10684969794077,86.22542041446115
186,9/28/2020,98.82,0.026247129,0.001803806,-0.00129995,93.90665675713235,91.88413578462435,86.97247427916211
187,9/29/2020,97.75,-0.010886815,0.001794648,-0.001351217,96.43324946720882,94.35813652925086,89.32821725661599
188,9/30/2020,100.25,0.025253867,0.001788847,-0.0012097,95.39666865534959,93.35400625796271,88.39837545408777
189,10/1/2020,101.330002,0.010715471,0.001780131,-0.001146604,97.84431815371904,95.75033561885935,90.6878676645416
190,10/2/2020,101.610001,0.002759428,0.001770842,-0.001126046,98.90383198023129,96.7921967985356,91.67118107747065
191,10/5/2020,103.889999,0.022190672,0.001764402,-0.001003969,99.19138921258842,97.07247867415799,91.9400080926617
192,10/6/2020,101.760002,-0.020715518,0.001757226,-0.001106633,101.43040275602915,99.27795989257761,94.01902524892382
193,10/7/2020,103.379997,0.015794372,0.001749593,-0.001019063,99.33900095923438,97.22784839310158,92.12472085304458
194,10/8/2020,106.059998,0.025593462,0.001744206,-0.000881885,100.9414067094054,98.80404054465332,93.63187458492165
195,10/9/2020,106.339996,0.002636518,0.001735325,-0.000863842,103.5840008528101,101.38740732572268,96.07670635616063
196,10/12/2020,106.610001,0.002535855,0.00172653,-0.000846497,103.86220573281639,101.66742155681713,96.34918790086319
197,10/13/2020,105.010002,-0.015121723,0.001718795,-0.00091896,104.14066200161214,101.94729726874945,96.61254341432767
198,10/14/2020,104.809998,-0.001906435,0.001710119,-0.000923947,102.5753807270621,100.41629091051882,95.18637054486251
199,10/15/2020,104.43,-0.003632178,0.001701562,-0.000937556,102.3786584643536,100.23378485114343,95.03706254476592
200,10/16/2020,104.910004,0.004585887,0.001693206,-0.000909939,102.0214491216706,99.8943099245758,94.69626208432301
201,10/19/2020,102.470001,-0.023532795,0.001687316,-0.001022491,102.48367676225584,100.35760831015726,95.17299731186131
202,10/20/2020,103.139999,0.006517196,0.001679243,-0.000985165,100.09911774527082,98.00954152413611,92.9314430363926
203,10/21/2020,101.43,-0.016718374,0.001672184,-0.001062669,100.75877528764215,98.66239052601001,93.6045821345008
204,10/22/2020,104.790001,0.032589452,0.001669511,-0.000897708,99.08934497416685,97.0369524223133,92.05100284848339
