,Date,TSN,PDR,VAR,AVG,VAR70,VAR85,VAR99
138,7/21/2020,60.580002,0.006957159,0.001473164,-0.002866025,58.740072256864444,57.59178343384098,54.790799349764576
139,7/22/2020,60.349998,-0.003803924,0.001462572,-0.002872772,59.159804857161056,58.00822996805206,55.207527702826084
140,7/23/2020,60.91,0.00923645,0.001453165,-0.002786278,58.93677136065328,57.796275652027425,55.019901599117425
141,7/24/2020,60.82,-0.001478683,0.001442871,-0.002777004,59.49538442617319,58.34644462732851,55.56429774631702
142,7/27/2020,60.98,0.002627259,0.001432914,-0.002738946,59.41054511414242,58.26431402175498,55.474450651144345
143,7/28/2020,60.740002,-0.003943449,0.001422903,-0.002747369,59.57563282118688,58.42602777225962,55.64375472371069
144,7/29/2020,62.0,0.020531893,0.001416759,-0.002585708,59.34141379946402,58.206104809773294,55.44839021009023
145,7/30/2020,61.57,-0.006959646,0.00140712,-0.002615873,60.58751276941176,59.4326164807823,56.633117987926596
146,7/31/2020,61.450001,-0.001950887,0.001397485,-0.002611318,60.170148606117024,59.02470650315075,56.23272688165239
147,8/3/2020,62.43,0.015822077,0.001390274,-0.002485921,60.0578416308421,58.91883174579654,56.14654356538261
148,8/4/2020,65.120003,0.042185839,0.001394273,-0.002184085,61.025606559273555,59.870597060883526,57.05900571026283
149,8/5/2020,62.93,-0.03420877,0.001391752,-0.002399015,63.66831698568547,62.465351752217764,59.525746126359145
150,8/6/2020,62.459999,-0.007496662,0.001382646,-0.002433,61.52836140034488,60.36221123770894,57.52270511993208
151,8/7/2020,62.799999,0.005428722,0.001373896,-0.002380935,61.064275995246476,59.90838083909457,57.113479644690635
152,8/10/2020,64.559998,0.027639935,0.001370747,-0.00218343,61.402374991642446,60.24756546453982,57.43043089330644
153,8/11/2020,65.209999,0.010017823,0.001362755,-0.002103683,63.13600609431722,61.95241789273807,59.08129930643001
154,8/12/2020,65.709999,0.00763829,0.001354518,-0.002040423,63.778314151008324,62.58154974152752,59.66545179546612
155,8/13/2020,64.599998,-0.017036726,0.001347221,-0.002137174,64.27663178642999,63.07628823947342,60.15561080439918
156,8/14/2020,63.939999,-0.010269252,0.001339006,-0.002189302,63.19026035804057,62.01488948184151,59.14762311752833
157,8/17/2020,63.68,-0.004074586,0.0013305,-0.00220131,62.5484556630466,61.38883898089768,58.553405761345715
158,8/18/2020,63.669998,-0.000157079,0.001322105,-0.002188372,62.296527150707576,61.14063902239192,58.347089163634315
159,8/19/2020,63.48,-0.002988567,0.001313794,-0.002193405,62.28974714969099,61.141725232995285,58.33550223768655
160,8/20/2020,62.900002,-0.0091787,0.001305886,-0.002237063,62.11176666020055,60.970328682428224,58.181930831106584
161,8/21/2020,62.919998,0.000317851,0.001297815,-0.002221194,61.54002852717108,60.41343676590064,57.658068383587526
162,8/24/2020,63.549999,0.009962935,0.001290715,-0.002145983,61.56934943686183,60.443575944710986,57.71176397258607
163,8/25/2020,63.540001,-0.000157337,0.00128282,-0.002133783,62.19125266527104,61.05653116454314,58.29428895668347
164,8/26/2020,63.450001,-0.001417435,0.001275001,-0.002129415,62.18629651862049,61.060602396064674,58.28980891441301
165,8/27/2020,63.959999,0.008005662,0.001267893,-0.00206799,62.103703538938774,60.98181158195831,58.2434238554827
166,8/28/2020,63.91,-0.000782029,0.001260265,-0.002060244,62.60489791676685,61.47916658885282,58.72275643089202
167,8/31/2020,62.799999,-0.017520786,0.001254141,-0.002152822,62.56151611330666,61.431311000424685,58.68619593583614
168,9/1/2020,62.639999,-0.002551022,0.001246677,-0.002155192,61.47066053645928,60.36613112221433,57.673184251756396
169,9/2/2020,63.389999,0.011902069,0.001240462,-0.002072013,61.3211066976546,60.226315590760265,57.544506542776475
170,9/3/2020,61.639999,-0.02799511,0.001237095,-0.002224502,62.06051968520304,60.94983995785559,58.23601782118713
171,9/4/2020,62.419998,0.012574711,0.001231134,-0.002137957,60.344529373511584,59.26327522715976,56.635111576455515
172,9/8/2020,61.57,-0.013710966,0.00122475,-0.002205242,61.11682825632066,60.026832652302296,57.37518524299959
173,9/9/2020,61.240002,-0.005374135,0.001217729,-0.002223559,60.2770862245966,59.205688949404276,56.588896934370936
174,9/10/2020,63.450001,0.035451606,0.001218841,-0.002007035,59.96119392166174,58.894631021043715,56.30771252676437
175,9/11/2020,63.720001,0.004246291,0.001212098,-0.001971302,62.12823873197878,61.02970697119255,58.34516540939233
176,9/14/2020,65.309998,0.024646633,0.001209214,-0.001820063,62.40641017611253,61.30480269004094,58.61008496494367
177,9/15/2020,65.25,-0.000919087,0.001202387,-0.001814973,63.980055771437655,62.847646596653576,60.09052426343009
178,9/16/2020,65.209999,-0.00061323,0.00119564,-0.001808222,63.919612916018615,62.7962132397541,60.04904092646995
179,9/17/2020,63.75,-0.022643632,0.001191372,-0.001924621,63.89154079424323,62.76961729266354,60.031769829259005
180,9/18/2020,62.029999,-0.027351061,0.001188325,-0.002065879,62.453086440395836,61.35763356464703,58.68370881741243
