,Date,BBY,PDR,VAR,AVG,VAR70,VAR85,VAR99
209,10/29/2020,112.279999,0.010475032,0.001154301,0.001203496,109.20479140088742,107.31711396497938,102.70887458221563
210,10/30/2020,111.550003,-0.006522795,0.001149087,0.001166705,110.37390809349097,108.47240382619016,103.78653872499996
211,11/2/2020,115.720001,0.036700541,0.001149597,0.001335111,109.65034416850185,107.76184273161064,103.1435133395703
212,11/3/2020,118.82,0.026436254,0.001147132,0.001453513,113.76399150884384,111.81200390273064,107.02486636839232
213,11/4/2020,119.860001,0.00871466,0.001141993,0.001487603,116.84345795594729,114.82278883264246,109.92922538404312
214,11/5/2020,123.059998,0.026347622,0.001139531,0.001603771,117.85840868562208,115.84284643795662,110.90283696063047
215,11/6/2020,123.059998,0.0,0.001134243,0.001596312,121.03095526508758,118.95864993465975,113.87189924148517
216,11/9/2020,111.0,-0.103141824,0.001179544,0.001111413,121.03435952933785,118.96311157389063,113.91927562984394
217,11/10/2020,112.629997,0.014577882,0.00117494,0.001173471,109.0740275479376,107.17304341124138,102.51972331359737
218,11/11/2020,114.559998,0.016990602,0.001170693,0.001246026,110.68506483936785,108.77216874358795,104.06956938040827
219,11/12/2020,114.0,-0.004900237,0.001165519,0.001217961,112.59483273938896,110.63663644612355,105.85533390654358
220,11/13/2020,114.300003,0.002628149,0.00116023,0.001224371,112.04969814251494,110.10815300123554,105.3598797746258
221,11/16/2020,118.650002,0.037351403,0.001160859,0.001387842,112.34567132331355,110.40206634592505,105.67452932882564
222,11/17/2020,119.019997,0.003113521,0.001155643,0.001395615,116.64441554275052,114.62540830720974,109.69208593874582
223,11/18/2020,117.769997,-0.010557977,0.001151099,0.001342011,117.01150584648245,114.99470066396128,110.06084866051111
224,11/19/2020,118.830002,0.008960373,0.001146218,0.001376022,115.78620074547837,113.79228852720593,108.91973094041245
225,11/20/2020,119.139999,0.002605347,0.00114113,0.001381486,116.83558797339381,114.82632667740182,109.94067840210717
226,11/23/2020,122.040001,0.024049604,0.001138345,0.001481787,117.14512374563138,115.12594510962998,110.1992803782873
