,Date,META,PDR,VAR,AVG,VAR70,VAR85,VAR99
217,11/10/2020,272.429993,-0.023005355,0.000944069,0.00120425,274.5265171231235,270.2185596074291,259.74874859321204
218,11/11/2020,276.480011,0.014756851,0.000940577,0.001266418,268.26391709533175,264.0849025195024,253.83917455984954
219,11/12/2020,275.079987,-0.005076608,0.000936465,0.001237455,272.2900446072031,268.04493359469154,257.6909249961901
220,11/13/2020,276.950012,0.006775111,0.000932347,0.001262626,270.89997377917047,266.7012698518666,256.40491368870613
221,11/16/2020,278.959991,0.007231342,0.000928289,0.001289634,272.7565753136559,268.5447164820497,258.124068274448
222,11/17/2020,275.0,-0.014297272,0.000925197,0.001219422,274.7776788241153,270.5037267110303,260.04385260289365
223,11/18/2020,271.970001,-0.011079328,0.000921724,0.001164271,270.8382770463959,266.65968859164263,256.4220855972112
224,11/19/2020,272.940002,0.003560228,0.000917634,0.001174967,267.86707943260694,263.7336092494746,253.6100163029144
225,11/20/2020,269.700012,-0.011941723,0.000914317,0.001116671,268.8287569658648,264.6928031516141,254.5482405875162
226,11/23/2020,268.429993,-0.004720128,0.000910422,0.001090844,265.6359971908043,261.5509662524107,251.54942824880015
227,11/24/2020,276.920013,0.031138557,0.000910371,0.001223213,264.37084535483825,260.3253168692845,250.42206552071605
228,11/25/2020,275.589996,-0.004814463,0.000906537,0.001196732,272.7675360157965,268.60353254333575,258.3441993853179
229,11/27/2020,277.809998,0.00802318,0.000902781,0.001226542,271.4759694209682,267.31999629541554,257.1103310007526
230,11/30/2020,276.970001,-0.003028219,0.000898934,0.001208043,273.64947386013966,269.47613845089455,259.2576833937045
231,12/1/2020,286.549988,0.034003798,0.000899679,0.001350016,272.8517130630363,268.6910756220668,258.49422392627787
232,12/2/2020,287.519989,0.003379386,0.000895818,0.001358763,282.3329480348896,278.0225780505939,267.4658102026153
233,12/3/2020,281.850006,-0.019917349,0.000893908,0.001267449,283.2983967541376,278.9912336799159,268.43433418191114
234,12/4/2020,279.700012,-0.007657393,0.000890427,0.001229309,277.6706374022606,273.4558937174695,263.08253150867404
235,12/7/2020,285.579987,0.020804511,0.000888262,0.001312608,275.57316933093233,271.3837106104883,261.1351266442485
236,12/8/2020,283.399994,-0.007662848,0.000884838,0.001274576,281.4084701951044,277.1477882207938,266.74455152554447
237,12/9/2020,277.920013,-0.019525957,0.000882922,0.00118681,279.2357725429624,275.02654530981846,264.64136166958707
238,12/10/2020,277.119995,-0.002882742,0.000879282,0.001169711,273.83298067160894,269.7091171056762,259.5510978908022
239,12/11/2020,273.549988,-0.012966231,0.000876435,0.001110565,273.03486921780296,268.9157463070291,258.8199583553312
240,12/14/2020,274.190002,0.002336927,0.00087279,0.001115675,269.5253703666118,265.4696154495884,255.53440018673328
241,12/15/2020,275.549988,0.004947753,0.000869229,0.001131575,270.1746568892838,266.1197535579315,256.1133950229469
242,12/16/2020,275.670013,0.000435489,0.000865639,0.001128699,271.5022767347747,267.44782008079824,257.44820578583796
243,12/17/2020,274.480011,-0.004326107,0.000862199,0.001106251,271.62841240463894,267.5669660532762,257.574795097134
244,12/18/2020,276.399994,0.006970632,0.000858805,0.001130286,270.4796632788042,266.4436274529385,256.5498256911747
245,12/21/2020,272.790009,-0.013146769,0.000856129,0.001072012,272.3762036249501,268.3200725131023,258.36862644597585
246,12/22/2020,267.089996,-0.021116636,0.000854642,0.000981814,268.79526256401385,264.8105359709963,254.9974921973387
247,12/23/2020,268.109985,0.003811623,0.000851214,0.000993271,263.1768960846326,259.28340693139296,249.68782342388957
248,12/24/2020,267.399994,-0.002651646,0.000847835,0.000978574,264.17168875059485,260.2703951482181,250.67093151732763
249,12/28/2020,277.0,0.035271864,0.000849134,0.001116298,263.50159467528346,259.5946931690312,250.05626183670515
250,12/29/2020,276.779999,-0.000794543,0.000845752,0.001108654,272.9893847882958,268.95798905147916,259.0226496166263
251,12/30/2020,271.869995,-0.017898971,0.000843816,0.001032927,272.78156288933377,268.7555012176299,258.8590279338606
252,12/31/2020,273.160004,0.004733726,0.000840522,0.001047613,267.9289697612256,263.94735915244684,254.21196928531666
253,1/4/2021,268.940002,-0.015569405,0.000838287,0.000981933,269.2181527211647,265.2404938242661,255.4777837360882
254,1/5/2021,270.970001,0.007519804,0.000835154,0.001007672,265.03740773223194,261.1370910220474,251.60509850541337
255,1/6/2021,263.309998,-0.02867608,0.000835321,0.000891265,267.0586538519986,263.13833183963845,253.4859566665212
256,1/7/2021,268.73999,0.020412295,0.00083354,0.000967519,259.4798952704178,255.66146482751492,246.2875585115112
257,1/8/2021,267.570007,-0.004363092,0.000830407,0.000946778,264.8376169536996,260.9554831494259,251.41920813163114
258,1/11/2021,256.839996,-0.040927933,0.000833959,0.000784473,263.6979171308902,259.8212831889878,250.3313001184902
259,1/12/2021,251.089996,-0.022641883,0.000832849,0.000694023,253.0770515069134,249.34620653807423,240.22247080094166
260,1/13/2021,251.639999,0.002188066,0.000829655,0.00069977,247.40187230944406,243.77557010384564,234.88436924806177
261,1/14/2021,245.639999,-0.024132445,0.00082883,0.000604627,247.93097232588264,244.30406324076367,235.39606405413176
262,1/15/2021,251.360001,0.023019133,0.000827576,0.000690179,242.00269577834715,238.47086671067058,229.77436089792837
263,1/19/2021,261.100006,0.03801732,0.000829707,0.000832107,247.6762584478946,244.04349069364616,235.12500255133997
264,1/20/2021,267.480011,0.02414134,0.000828615,0.0009204,257.31070867724617,253.5395480852923,244.30105409625085
265,1/21/2021,272.869995,0.019950635,0.000826849,0.000992212,263.60793959210935,259.73703459361093,250.28529218060513
266,1/22/2021,274.5,0.005955788,0.000823833,0.001010872,268.9422547890518,265.00369888332307,255.35883996205405
267,1/25/2021,278.01001,0.012705859,0.000821258,0.001054673,270.56281513461835,266.61382340716,256.93405319589135
