,Date,GOOG,PDR,VAR,AVG,VAR70,VAR85,VAR99
207,10/27/2020,80.212997,0.008645571,0.000648351,0.000771852,78.49822864005671,77.47993337540719,74.97900294223484
208,10/28/2020,75.831001,-0.056178366,0.000660752,0.000498053,79.18251877657757,78.15730718261969,75.63794527936587
209,10/29/2020,78.362,0.032831923,0.000662569,0.00065276,74.82619589090793,73.84836404002718,71.43048077233699
210,10/30/2020,81.050499,0.033733289,0.0006646,0.000810287,77.33939683164449,76.32653567235788,73.83385504722474
211,11/2/2020,81.301498,0.003092037,0.000661475,0.000821101,80.00018032728471,78.94951649708372,76.36196802255952
212,11/3/2020,82.510498,0.014761092,0.000659267,0.000886855,80.25415257935431,79.20656352122965,76.62435188946436
213,11/4/2020,87.456497,0.058215959,0.00067153,0.001156006,81.45317206105895,80.38953269267347,77.7776530663673
214,11/5/2020,88.168503,0.008108298,0.000668616,0.001188493,86.34296227268636,85.20170834608858,82.39991009770331
215,11/6/2020,88.087502,-0.000919129,0.000665527,0.001178691,87.0582374891744,85.91343218898004,83.09522304365892
216,11/9/2020,88.150002,0.00070927,0.000662447,0.001176517,86.97553560341099,85.83442809648486,83.02573461959273
217,11/10/2020,87.019501,-0.012907689,0.000660304,0.001111613,87.03946903870528,85.89865276509576,83.08594087677562
218,11/11/2020,87.635498,0.007053901,0.000657436,0.001138871,85.92743993125015,84.80231721069184,82.03676926168202
219,11/12/2020,87.491997,-0.001638818,0.00065447,0.001126188,86.53333770022279,85.40484191590079,82.62949968916034
220,11/13/2020,88.850998,0.015413461,0.000652418,0.00119113,86.39812026836597,85.27187980649954,82.50974321540777
221,11/16/2020,89.069,0.002450563,0.000649473,0.001196829,87.74178782427761,86.60588626936516,83.7861719402567
222,11/17/2020,88.5075,-0.006324056,0.000646801,0.001162951,87.96314271243604,86.81701715322342,84.0236399548141
223,11/18/2020,87.338997,-0.01329023,0.000644834,0.001098138,87.40526670204106,86.27070978472064,83.48618221295716
224,11/19/2020,88.195999,0.009764535,0.000642289,0.001136828,86.25413013326194,85.13513233479733,82.38685433409094
225,11/20/2020,87.109497,-0.012395686,0.000640244,0.001076683,87.1029374928265,85.97681909280325,83.19580676564317
226,11/23/2020,86.742996,-0.004216236,0.000637535,0.001053263,86.02402435636417,84.91943310111398,82.18828410878675
227,11/24/2020,88.444,0.019419906,0.000636206,0.001134174,85.66739565426265,84.56820753590489,81.84738457045175
228,11/25/2020,88.571503,0.001440586,0.000633416,0.001135517,87.34862685192415,86.22991914774022,83.46494636002113
229,11/27/2020,89.6595,0.012208993,0.000631183,0.001183873,87.48211601144654,86.3611234078813,83.59234388205188
230,11/30/2020,88.037003,-0.018261947,0.000630076,0.001099326,88.56174151264808,87.4281350642535,84.65117259418057
231,12/1/2020,89.904999,0.020996331,0.000629054,0.00118546,86.95746333306569,85.8466814581727,83.10336885879742
232,12/2/2020,91.397499,0.016464569,0.000627345,0.001251319,88.80998859977049,87.67564234212821,84.90322501688823
233,12/3/2020,91.338501,-0.000645718,0.000624668,0.001243177,90.2932206791204,89.13966942512239,86.31265196872424
234,12/4/2020,91.399498,0.00066759,0.000622,0.001240717,90.23447891200004,89.08670998849455,86.24741591578747
235,12/7/2020,90.973999,-0.004666246,0.000619501,0.001215581,90.2945902826764,89.14819419854365,86.318651909131
236,12/8/2020,90.927498,-0.000511277,0.000616888,0.001208264,89.87816340617249,88.74249189730071,85.94072757500038
237,12/9/2020,89.206497,-0.01910859,0.00061602,0.001122539,89.8312950476428,88.69247336271704,85.89505334000577
238,12/10/2020,88.766502,-0.004944524,0.000613585,0.001097047,88.12074951241712,87.00687310087137,84.27206509703305
