,Date,IBM,PDR,VAR,AVG,VAR70,VAR85,VAR99
249,12/28/2020,119.330788,0.00104211,0.000676822,-0.000327343,117.50249359336135,115.95011877262601,112.12014420443397
250,12/29/2020,118.355644,-0.008205344,0.000674362,-0.000358855,117.63949943116175,116.07962496959252,112.26731473983696
251,12/30/2020,118.871895,0.004352377,0.000671763,-0.000340085,116.6710911688601,115.13145474197495,111.31845188491475
252,12/31/2020,120.34417,0.01230932,0.00066973,-0.000289889,117.18476762245956,115.63444288329383,111.8322653088581
253,1/4/2021,118.489487,-0.015531482,0.000667997,-0.000350132,118.64618745651636,117.0811972564491,113.23076872367598
254,1/5/2021,120.592735,0.017594803,0.00066663,-0.000279483,116.81456146194436,115.27926537156372,111.49585914594944
255,1/6/2021,123.60421,0.024665564,0.000666447,-0.000181659,118.88725494621751,117.32997205622459,113.4846230934184
256,1/7/2021,123.317398,-0.002323103,0.000663861,-0.000190024,121.88520405400361,120.2839457004041,116.3365296007493
257,1/8/2021,122.877632,-0.003572505,0.000661322,-0.000203186,121.5908108220076,120.00310016081276,116.08945924838594
258,1/11/2021,122.92543,0.000388913,0.000658761,-0.000200891,121.16510052558324,119.57661275266692,115.682375316851
259,1/12/2021,123.527725,0.004887713,0.000656317,-0.000181244,121.22376964506337,119.63887513771569,115.73592751114136
260,1/13/2021,121.338432,-0.017882025,0.000654993,-0.000249323,121.81485619670705,120.23044196832979,116.33291098164865
261,1/14/2021,123.298279,0.016022852,0.000653494,-0.000186978,119.64787345452409,118.09225414943573,114.26685875543488
262,1/15/2021,122.74379,-0.004507277,0.000651071,-0.000203468,121.58817307489073,120.01033265304189,116.13158301914507
263,1/19/2021,123.346077,0.004894864,0.000648693,-0.000184082,121.04148720794167,119.4741937999208,115.61205092744979
