,Date,MCD,PDR,VAR,AVG,VAR70,VAR85,VAR99
586,4/29/2022,249.160004,-0.01998675,0.000337817,0.00036832,251.81039905781932,249.45521753778996,243.6004358525037
587,5/2/2022,246.639999,-0.010165497,0.00033743,0.000350375,246.8178392287874,244.50182603310137,238.768413984728
588,5/3/2022,245.869995,-0.003126859,0.000336877,0.000344462,244.32649972290895,242.03935402115638,236.37940504149944
589,5/4/2022,254.320007,0.033790423,0.000338201,0.000401246,243.5596625728484,241.28944768071347,235.63263085694243
590,5/5/2022,248.919998,-0.021461792,0.000338436,0.00036419,251.94138104688034,249.57797902056953,243.75379693304012
591,5/6/2022,250.779999,0.007444505,0.000337948,0.00037617,246.57705356445328,244.27133651358992,238.59365486726304
592,5/9/2022,247.490005,-0.013205859,0.000337689,0.000353227,248.41984756719077,246.0847307512781,240.3155778447415
593,5/10/2022,245.679993,-0.00734035,0.000337219,0.000340253,245.16857310325747,242.86938145117827,237.14849099949055
594,5/11/2022,244.429993,-0.005100907,0.000336701,0.000331093,243.37813028322398,241.09487942366655,235.44920587261439
595,5/12/2022,244.190002,-0.000982322,0.000336138,0.000328886,242.11704593341784,239.86012429622807,234.253191707549
596,5/13/2022,245.039993,0.003474815,0.00033559,0.000334164,241.8914092982717,239.63787944664725,234.03049378240573
597,5/16/2022,244.039993,-0.004089316,0.000335061,0.000326755,242.73283056452826,240.4619359070933,234.84447306413026
598,5/17/2022,241.630005,-0.009924466,0.000334676,0.000309612,241.73923842526375,239.48379252283,233.88256068692905
599,5/18/2022,231.050003,-0.044773501,0.000337505,0.000234348,239.3581611270459,237.12275902425367,231.58798772274918
600,5/19/2022,229.0,-0.008912147,0.000337082,0.000219104,228.8437233274269,226.713375269993,221.39195422494973
601,5/20/2022,233.910004,0.02121444,0.000337253,0.000254038,226.82546723010904,224.70057018854078,219.4176743838001
602,5/23/2022,238.0,0.017334231,0.000337177,0.00028241,231.680760672452,229.51313125495372,224.12897370107157
603,5/24/2022,244.520004,0.027026448,0.000337802,0.000326762,235.7471474473562,233.55037244982984,228.055163573305
604,5/25/2022,244.009995,-0.002087934,0.000337252,0.000322764,242.21050833237808,239.94723248071546,234.32986455909554
605,5/26/2022,248.089996,0.01658238,0.000337131,0.00034964,241.7028615573267,239.4395038760428,233.8294801593731
606,5/27/2022,251.869995,0.015121494,0.000336934,0.000374016,245.7555985504327,243.45723346181785,237.72468915430707
