,Date,COST,PDR,VAR,AVG,VAR70,VAR85,VAR99
153,8/11/2020,332.429993,-0.022516327,0.000450849,0.000858978,336.48669017182357,332.84847447070206,323.87423960912446
154,8/12/2020,336.76001,0.01294125,0.000448863,0.000937434,328.9508643316214,325.40691017036534,316.6098597409989
155,8/13/2020,335.700012,-0.0031526,0.000446074,0.000911047,333.2757596300549,329.68211579967453,320.81952538128644
156,8/14/2020,336.279999,0.001726204,0.000443219,0.000916272,332.230469987698,328.65846820011615,319.80601793972517
157,8/17/2020,339.959991,0.010883794,0.000441025,0.00097976,332.82309439776014,329.24424639328265,320.4263933117411
158,8/18/2020,340.75,0.002321133,0.000438245,0.000988249,336.5111317139879,332.8988509541327,323.99243361121245
159,8/19/2020,340.899994,0.000440091,0.000435491,0.000984802,337.27613429729905,333.70032191447814,324.81524671270097
160,8/20/2020,340.869995,-8.8e-05,0.000432776,0.000978097,337.4346299810117,333.85130867265786,324.9967848928963
161,8/21/2020,344.609985,0.010912141,0.000430697,0.001039799,337.4200624026305,333.84126843378766,324.9989755899904
162,8/24/2020,344.130005,-0.001393792,0.000428075,0.001024777,341.138467260478,337.53467800592284,328.60067758273925
163,8/25/2020,344.709991,0.00168395,0.000425451,0.001028821,340.6911244689364,337.09670045582817,328.1950934597573
164,8/26/2020,344.269989,-0.001277256,0.000422889,0.001014759,341.27227523189543,337.67994164005836,328.8297081198868
165,8/27/2020,346.359985,0.006052452,0.000420479,0.001045291,340.8604588511686,337.28015675888173,328.4362258620637
166,8/28/2020,348.369995,0.005786466,0.000418081,0.001073852,342.95439773132847,339.3756774016975,330.5476113540715
167,8/31/2020,347.660004,-0.002040117,0.000415635,0.001055206,344.9413969334392,341.34520616606807,332.47618002902993
168,9/1/2020,351.380005,0.010643271,0.000413705,0.001112277,344.2463277211016,340.6706505080399,331.8006077399944
169,9/2/2020,358.859985,0.021064025,0.000413598,0.001230335,347.96661678173757,344.3581552102823,335.4338633128959
170,9/3/2020,348.299988,-0.029868156,0.000416821,0.001047403,355.4202993754663,351.741605066519,342.6164564093574
171,9/4/2020,346.570007,-0.004979304,0.000414594,0.001012159,344.8933132883866,341.3036524079632,332.4439620883816
172,9/8/2020,338.859985,-0.02249784,0.000415379,0.000875473,343.167162611296,339.61594580371604,330.8036987668742
173,9/9/2020,346.429993,0.022093759,0.000415565,0.000998122,335.48105207331105,332.0047802955413,323.3792082962389
174,9/10/2020,339.529999,-0.020118452,0.000415725,0.000876762,343.02045912691915,339.4614326414141,330.6657813418444
175,9/11/2020,339.130005,-0.001178776,0.000413373,0.000865016,336.1439574849717,332.6561718705841,324.0079031685223
176,9/14/2020,342.920013,0.011113692,0.000411618,0.000923247,335.7515059261662,332.2695149290901,323.6894615809273
177,9/15/2020,343.910004,0.002882785,0.000409314,0.000934318,339.53230354621064,336.02481336861257,327.30903790766104
178,9/16/2020,343.730011,-0.000523509,0.000407026,0.000926128,340.522663483659,337.03337122688265,328.35372185319886
179,9/17/2020,338.880005,-0.01421042,0.000406025,0.000841567,340.36384648883313,336.8609396255565,328.18038125962516
180,9/18/2020,335.959991,-0.008653999,0.000404268,0.000788813,335.51028891990853,332.0712049536339,323.54449882921523
181,9/21/2020,339.570007,0.010688053,0.000402573,0.000843505,332.644211605067,329.2272121514203,320.8297756165098
182,9/22/2020,344.450012,0.014268845,0.000401346,0.000917271,336.24209848573696,332.8104102816102,324.3297793508042
183,9/23/2020,344.630005,0.000522415,0.000399153,0.000915113,341.11216198238907,337.6189489200777,329.00353129803614
184,9/24/2020,347.0,0.006853388,0.000397175,0.000947386,341.28250228892296,337.8045109864234,329.192315913645
185,9/25/2020,342.579987,-0.012819611,0.000396047,0.00087297,343.65927141962266,340.15533825215806,331.5342285473503
186,9/28/2020,349.619995,0.020341667,0.000395944,0.000977641,339.2282870338026,335.7803034519368,327.3067912864944
187,9/29/2020,352.140015,0.00718203,0.000394032,0.001010819,346.26214882735144,342.74011879080894,334.0760750997503
188,9/30/2020,355.0,0.008088923,0.000392201,0.001048469,348.77285594777914,345.24674596808757,336.4958593659818
189,10/1/2020,358.459991,0.009699263,0.000390519,0.00109424,351.6095646938321,348.0755581688586,339.34008500533946
190,10/2/2020,355.01001,-0.009671066,0.000389071,0.001037581,355.08000069617475,351.50038451589734,342.68002290137474
191,10/5/2020,358.579987,0.010005765,0.000387453,0.001084534,351.6442766742592,348.10461896525095,339.352381851441
192,10/6/2020,358.350006,-0.000641572,0.00038545,0.001075544,355.2166435233195,351.6529269749835,342.8670727728414
193,10/7/2020,363.019989,0.01294772,0.00038418,0.001137058,355.0023353394661,351.4520806532474,342.6407535337675
194,10/8/2020,365.089996,0.005685989,0.000382305,0.001160506,359.64265465928673,356.04256023558963,347.1722274123478
195,10/9/2020,369.459991,0.011898568,0.000380933,0.001215573,361.7201267502728,358.1192399021344,349.1955814306248
196,10/12/2020,376.480011,0.018822498,0.000380563,0.001305405,366.06654997883527,362.4308335565047,353.3971624111629
197,10/13/2020,380.679993,0.011094155,0.000379115,0.001355094,373.05232340943036,369.34557438516543,360.1532323398705
198,10/14/2020,378.339996,-0.006165857,0.000377485,0.001317109,377.254808438521,373.50205828876585,364.241602958141
199,10/15/2020,376.579987,-0.004662778,0.000375767,0.001287059,374.9215203449392,371.21001446420047,362.0718934444131
200,10/16/2020,381.540009,0.013085245,0.00037458,0.00134605,373.18879955668996,369.50828698398294,360.3865472495551
201,10/19/2020,375.559998,-0.015797478,0.000374172,0.001260759,378.12988444324435,374.39687419336144,365.1932213042081
202,10/20/2020,378.309998,0.00729572,0.000372499,0.001290635,372.17661482186935,368.4955916211644,359.4480621453951
203,10/21/2020,377.820007,-0.00129605,0.000370697,0.001277893,374.9165024639794,371.231779378136,362.1514006659349
204,10/22/2020,375.75,-0.005493882,0.000369103,0.001244698,374.443449806982,370.7700616792024,361.64840398874173
205,10/23/2020,374.600006,-0.003065223,0.000367393,0.001223674,372.3711693006936,368.7411850192336,359.7630009002056
206,10/26/2020,370.709991,-0.010438745,0.000366266,0.00116706,371.2302913821796,367.6137457464502,358.66901722942066
207,10/27/2020,372.720001,0.005407409,0.000364583,0.001187545,367.3792882880092,363.7902206106625,354.92915919460813
208,10/28/2020,364.959991,-0.021039736,0.000365194,0.001080683,369.3893112008413,365.7883470260293,356.90760354051014
209,10/29/2020,364.859985,-0.000274057,0.000363456,0.001074201,361.64947624900833,358.12024137334834,349.3936816836863
210,10/30/2020,357.619995,-0.020042721,0.000363838,0.000973644,361.5545756636948,358.02867635325237,349.32573861832634
211,11/2/2020,364.390015,0.018753808,0.000363605,0.00105791,354.3300456474327,350.8871540387621,342.3487413376734
212,11/3/2020,371.959991,0.020561534,0.000363676,0.001149909,361.08179998610376,357.5663321106679,348.8977359922417
213,11/4/2020,376.170013,0.011254906,0.000362446,0.00119735,368.6215578749365,365.0278705690881,356.1882485672262
214,11/5/2020,385.230011,0.023799384,0.000363128,0.001302967,372.8054965471657,369.19901970740733,360.25297887971334
215,11/6/2020,385.660004,0.001115576,0.000361439,0.001302095,381.82728890302474,378.11086811713096,368.9463516612242
216,11/9/2020,365.0,-0.055058809,0.000374404,0.001041165,382.2693930208185,378.5561646600048,369.3479300420234
217,11/10/2020,366.619995,0.004428522,0.000372731,0.001056775,361.6193416735119,358.0630937841438,349.2309181210359
218,11/11/2020,372.920013,0.017038079,0.000372188,0.001130084,363.2360890922213,359.67329030350345,350.84230799620906
219,11/12/2020,375.709991,0.007453591,0.00037067,0.001158958,369.51685941086424,365.8846577524827,356.91250715835343
220,11/13/2020,378.839996,0.008296397,0.000369216,0.001191401,372.29456286723513,368.6414068930027,359.58676282806516
221,11/16/2020,379.790009,0.00250455,0.000367553,0.001197343,375.4343507359496,371.76290319077305,362.70241328994797
