,Date,VLO,PDR,VAR,AVG,VAR70,VAR85,VAR99
167,8/31/2020,52.59,-0.042805177,0.002732474,-0.003549212,53.154540666172366,51.74890958102408,48.36380041783815
168,9/1/2020,52.470001,-0.002284391,0.002716219,-0.003541683,50.921302969054125,49.57211114524531,46.3445089683316
169,9/2/2020,52.91,0.00835076,0.002700978,-0.003471314,50.803171012614335,49.46476294979539,46.250088307024235
170,9/3/2020,52.330002,-0.011022498,0.002685424,-0.003515732,51.23802694929536,49.88853202757745,46.666109260592854
171,9/4/2020,51.220001,-0.021439758,0.002671587,-0.003620551,50.67824274717283,49.35139991120322,46.16745588139973
172,9/8/2020,48.73,-0.049835243,0.0026684,-0.003889241,49.60437018179018,48.30540258848477,45.19319126089518
173,9/9/2020,47.75,-0.02031579,0.002654526,-0.003984192,47.180912887861886,45.94802880953512,43.008126626600166
174,9/10/2020,45.630001,-0.04541365,0.002649078,-0.004222293,46.231233440758096,45.02596725184819,42.121025768567506
175,9/11/2020,46.389999,0.01651848,0.002636385,-0.004103774,44.17058189044777,43.02212875308918,40.27051263527962
176,9/14/2020,47.509998,0.023856276,0.002625822,-0.00394491,44.91886977696904,43.754632635927145,40.93543720510363
177,9/15/2020,46.560001,-0.020198348,0.002612471,-0.004036737,46.00619481984754,44.81283816454173,41.94607197557713
178,9/16/2020,49.099998,0.053117169,0.002616042,-0.003715648,45.08483479435403,43.92130449383394,41.11979957886384
179,9/17/2020,49.0,-0.002038696,0.002601443,-0.00370628,47.55814350767932,46.330300810117585,43.36392290945568
180,9/18/2020,48.709999,-0.005935971,0.002587018,-0.003718667,47.469222083231315,46.24469006463727,43.30575825748904
181,9/21/2020,47.360001,-0.028106316,0.002575993,-0.003853405,47.18833961585357,45.97639542898402,43.054927322564346
182,9/22/2020,47.419998,0.001266027,0.002561983,-0.003825276,45.87683170941475,44.69740268886952,41.86097609273153
183,9/23/2020,44.509998,-0.0633302,0.002567226,-0.00415044,45.93988845194527,44.764148615839055,41.94477260068284
184,9/24/2020,44.580002,0.001571535,0.00255345,-0.004119342,43.10342537258213,41.99926877636715,39.33084704657985
185,9/25/2020,43.919998,-0.014915621,0.002540275,-0.0041777,43.17679373949037,42.07555667988122,39.42099239178993
186,9/28/2020,44.82,0.020284717,0.002529817,-0.004046182,42.53904684740874,41.4512007588135,38.83565575706713
187,9/29/2020,43.41,-0.031964639,0.002520435,-0.004195479,43.42341448398616,42.31389088920466,39.65994700121874
188,9/30/2020,43.32,-0.002075407,0.002507052,-0.004184202,42.05196613131869,40.985228901179234,38.42012586233476
189,10/1/2020,40.279999,-0.072759379,0.002518537,-0.004547033,41.967950818950946,40.909851400838754,38.357768490764684
190,10/2/2020,40.73,0.011109879,0.002506565,-0.004464629,39.004450739769865,38.01394866237148,35.63141542218072
191,10/5/2020,43.07,0.055861777,0.002512395,-0.004148783,39.44990949044888,38.449968790883915,36.045531205237054
192,10/6/2020,42.330002,-0.017330597,0.00250021,-0.004217439,41.73181458635638,40.67610811351423,38.12632548619136
193,10/7/2020,42.349998,0.000472272,0.002487369,-0.00419314,41.009626896933014,39.97609225096726,37.47164809170944
194,10/8/2020,44.360001,0.046369811,0.002487658,-0.003932506,41.036274523638404,40.0017958900356,37.518782184711796
195,10/9/2020,43.639999,-0.016364047,0.002475689,-0.003996257,42.99250082544914,41.90841956677946,39.307423691677286
196,10/12/2020,43.09,-0.012683186,0.002463441,-0.004040579,42.29607664230699,41.22712651474206,38.66547494662754
197,10/13/2020,41.43,-0.039285696,0.00245721,-0.004219488,41.762756500504075,40.711657086508325,38.194941326876126
198,10/14/2020,41.709999,0.006735628,0.002445403,-0.004164159,40.149073353390605,39.14514866711164,36.71588749008664
199,10/15/2020,41.560001,-0.003602694,0.002433116,-0.004161337,40.4262681009392,39.41444925821176,36.98000848132629
200,10/16/2020,40.220001,-0.032773781,0.002425023,-0.0043044,40.28466667774443,39.27928654910319,36.85974962319631
201,10/19/2020,39.290001,-0.02339435,0.002414763,-0.004399375,38.97655657450602,38.008073984371165,35.66775857783759
202,10/20/2020,40.700001,0.035258058,0.002410556,-0.004203051,38.073311087064454,37.13025057749438,34.84860365668463
203,10/21/2020,40.540001,-0.003938951,0.002398681,-0.00420175,39.446016686893536,38.46926569603987,36.1110496181248
204,10/22/2020,41.279999,0.018088931,0.002389347,-0.004092482,39.298712664345835,38.3240725914794,35.98067118153096
205,10/23/2020,41.970001,0.016577004,0.002379765,-0.003991655,40.01885366094087,39.02969604657402,36.65473184487386
206,10/26/2020,39.540001,-0.059642258,0.002383174,-0.004261803,40.7008734644581,39.69839687007412,37.27176229850035
207,10/27/2020,38.259998,-0.032907931,0.002375606,-0.00440019,38.33420950820207,37.38686468838755,35.10761324883572
208,10/28/2020,36.189999,-0.055622102,0.002376738,-0.00464645,37.089569498902065,36.17362707863129,33.9771799648016
209,10/29/2020,37.529999,0.036357777,0.002373373,-0.004450257,35.07088535335457,34.20764671495025,32.125363213649
210,10/30/2020,38.610001,0.02837075,0.002367176,-0.004293967,36.37581616529782,35.47723441342013,33.315734313074806
211,11/2/2020,39.900002,0.032865038,0.00236247,-0.004117858,37.43253512828908,36.51024999988825,34.295119568630895
212,11/3/2020,39.48,-0.010582159,0.002351523,-0.00414835,38.69424795439833,37.74008401122152,35.443132170856806
213,11/4/2020,38.970001,-0.01300207,0.002340849,-0.004189916,38.286173062271494,37.345651048222535,35.08776023797578
214,11/5/2020,39.529999,0.014267707,0.002331495,-0.004103666,37.78876189936172,36.86683014901013,34.63984635921023
215,11/6/2020,38.169998,-0.035010038,0.002325073,-0.004247416,38.34020910651929,37.40368259260565,35.14388568407586
216,11/9/2020,50.080002,0.271571952,0.002664883,-0.002970475,37.01695062051361,36.11118310081669,33.92278174868586
217,11/10/2020,49.959999,-0.002399101,0.002652604,-0.002967842,48.534853721420454,47.26470839497461,44.22849472849378
218,11/11/2020,49.790001,-0.003408485,0.002640437,-0.002969863,48.423141411022435,47.16593074090321,44.13268139727155
219,11/12/2020,47.279999,-0.051726829,0.002639186,-0.003192498,48.261465512395105,47.01047945486479,44.00991606389036
220,11/13/2020,50.919998,0.074168382,0.002654269,-0.002840857,45.822135249041494,44.6314022770573,41.7695432997104
221,11/16/2020,55.669998,0.089185632,0.002680406,-0.002424448,49.356227828196026,48.0706440169687,44.984264517281034
222,11/17/2020,54.150002,-0.027683356,0.002671193,-0.002538227,53.97786267600902,52.565864142802425,49.162727067124216
223,11/18/2020,51.25,-0.055042392,0.002671521,-0.002773671,52.49759479729786,51.1322284220191,47.824845564154586
224,11/19/2020,51.209999,-0.000780812,0.002659612,-0.002764775,49.67502369258537,48.379680220890044,45.24489998349204
225,11/20/2020,50.82,-0.007644828,0.002647897,-0.002786464,49.64459047551874,48.34919648704949,45.25257225440482
226,11/23/2020,56.09,0.098667566,0.002681523,-0.002337552,49.27260805612583,47.986227539355646,44.908247617491
227,11/24/2020,58.490002,0.04189829,0.002678293,-0.002142681,54.38511927353886,52.960806423666675,49.549583244027225
228,11/25/2020,56.43,-0.035854902,0.002671509,-0.002290541,56.726530181234615,55.24516176181807,51.669089003290395
229,11/27/2020,56.619999,0.00336133,0.002659981,-0.002265861,54.724825986253585,53.295632019151185,49.87847865247872
230,11/30/2020,53.77,-0.051646571,0.002658972,-0.002480559,54.90980869664395,53.476621858564975,50.0280267373622
231,12/1/2020,54.400002,0.0116485,0.002648322,-0.002419395,52.137412323765076,50.777230595789085,47.49197578373539
232,12/2/2020,58.07,0.065284989,0.00265658,-0.002127565,52.75688336873016,51.383808507268675,48.07965688622792
233,12/3/2020,57.91,-0.002759098,0.00264518,-0.002130276,56.32547205189472,54.85659319735466,51.33527623109211
