,Date,GS,PDR,VAR,AVG,VAR70,VAR85,VAR99
242,12/16/2020,243.770004,0.005512194,0.001104432,0.000163378,238.13017321151943,234.1012522588703,224.24781901685347
243,12/17/2020,244.429993,0.002703767,0.001099913,0.000173832,239.47624190335776,235.43635169816906,225.55465387095293
244,12/18/2020,242.130005,-0.009454148,0.001095784,0.000134373,240.1253829497977,236.07657416078277,226.18296822530615
245,12/21/2020,256.980011,0.059523511,0.001105649,0.000376778,237.85960998672925,233.86396921091898,224.0664678865231
246,12/22/2020,250.089996,-0.027177467,0.001104228,0.000264769,252.50284775101287,248.23443661252048,237.78199001504288
247,12/23/2020,256.450012,0.025112924,0.001102247,0.000365369,245.69320555130568,241.54871674777962,231.46847602065387
248,12/24/2020,256.160004,-0.001131496,0.001097811,0.000359333,251.97158186335483,247.73546492190854,237.33846222124964
249,12/28/2020,259.589996,0.013301183,0.001094072,0.000411308,251.6879031487716,247.45865421922613,237.0751604995034
250,12/29/2020,258.01001,-0.006105065,0.001089865,0.000385243,255.08412872531042,250.79608437268666,240.33723473724274
251,12/30/2020,259.450012,0.005565669,0.00108563,0.000405882,253.54525905863196,249.30359279878286,238.88387002262186
252,12/31/2020,263.709991,0.016285928,0.001082318,0.000468898,254.9504142322763,250.694888685551,240.21795222067166
253,1/4/2021,265.0,0.004879846,0.001078117,0.000486332,259.19447652807713,254.87974104993137,244.26609433168937
254,1/5/2021,270.929993,0.022130633,0.00107571,0.000571546,260.4698740806619,256.13634109501305,245.54079839326698
255,1/6/2021,285.549988,0.052556644,0.001082047,0.000775409,266.3069747362607,261.88167849569857,251.03782463480118
256,1/7/2021,291.649994,0.02113733,0.001079434,0.000854948,280.7167060504545,276.04418533972733,264.5572790484908
257,1/8/2021,290.079987,-0.00539773,0.001075385,0.000830619,286.7647677427002,281.95783372357636,270.26231389933525
258,1/11/2021,293.829987,0.012844622,0.001071774,0.000877184,285.23307782312986,280.4757951120959,268.91510275785834
259,1/12/2021,302.209991,0.028120786,0.001070491,0.000982372,288.9284029871314,284.1367926289072,272.356350963598
260,1/13/2021,302.940002,0.002412663,0.001066382,0.000987873,297.2085008896144,292.280212207563,280.21760661908155
261,1/14/2021,307.869995,0.016142827,0.001063172,0.001045938,297.9076641843914,292.9465085355855,280.89434667381937
262,1/15/2021,301.01001,-0.02253408,0.001061229,0.000955938,302.8069830147799,297.80121545156805,285.554938190142
263,1/19/2021,294.200012,-0.022883671,0.001059346,0.000865293,296.0274057404324,291.1300072648181,279.07273290115137
264,1/20/2021,290.470001,-0.012759545,0.001056034,0.000813684,289.32663764774793,284.5439784671047,272.83078507764674
