,Date,NKE,PDR,VAR,AVG,VAR70,VAR85,VAR99
190,10/2/2020,126.639999,0.0,0.000846108,0.001128509,124.80405153199938,122.9613813068817,118.40991553494675
191,10/5/2020,127.910004,0.009978515,0.000842086,0.001174844,124.80683952935668,122.951643587714,118.43956157148243
192,10/6/2020,127.650002,-0.002034764,0.000837754,0.001158128,126.07106257733905,124.21804405630559,119.66613299816639
193,10/7/2020,130.059998,0.018703708,0.000835,0.001249037,125.81200700301576,123.96519492210884,119.41762411837462
194,10/8/2020,129.710007,-0.002694624,0.000830775,0.001228709,128.20839893027386,126.32602430438637,121.73783011090048
195,10/9/2020,130.979996,0.009743366,0.000826885,0.001272374,127.86870184406773,125.99125195297582,121.3986629274546
196,10/12/2020,129.460007,-0.011672602,0.000823517,0.001206328,129.12840850283922,127.24386978636501,122.6286875671253
197,10/13/2020,129.199997,-0.002010439,0.000819389,0.00119,127.63101647398337,125.76519593714814,121.1984731895438
198,10/14/2020,127.660004,-0.011991057,0.000816123,0.001123429,127.37939335743482,125.52993140506086,120.98256751804206
199,10/15/2020,129.0,0.010441893,0.000812456,0.001170255,125.85345741629325,124.01811911298554,119.53098412909793
200,10/16/2020,128.0,-0.00778214,0.000808793,0.001125493,127.1853414315952,125.34492448221624,120.80752725588269
201,10/19/2020,127.43,-0.00446307,0.000804924,0.001097689,126.19208672404223,124.36944405236859,119.86648590014399
202,10/20/2020,128.490005,0.008283925,0.000801193,0.001133265,125.63121527999651,123.8156395447366,119.34306404042093
203,10/21/2020,129.429993,0.007289021,0.000797432,0.001163589,126.68393764190061,124.86214619269471,120.38572375328167
204,10/22/2020,130.020004,0.004548175,0.000793579,0.00118018,127.62910817618761,125.79656899685867,121.28613440377245
205,10/23/2020,129.990005,-0.000230753,0.000789718,0.001173297,128.21998917229934,126.38394125246063,121.8758369720439
206,10/26/2020,128.369995,-0.012540883,0.000786793,0.001106723,128.19490333492018,126.35961506031278,121.87703288388616
207,10/27/2020,127.989998,-0.00296456,0.000783071,0.001087055,126.58321882001849,124.78233814682144,120.35017876023076
208,10/28/2020,122.080002,-0.047275536,0.000790497,0.000854543,126.21556647263556,124.42030570078049,120.003822362976
209,10/29/2020,122.860001,0.00636892,0.00078686,0.000880928,120.34957849135486,118.63345329356117,114.39768293796371
210,10/30/2020,120.080002,-0.0228873,0.00078579,0.000767746,121.11908266211958,119.39894549220217,115.15134765714083
211,11/2/2020,122.389999,0.019054455,0.000783643,0.000854412,118.37280450516224,116.68573912019222,112.55748430611492
212,11/3/2020,124.589996,0.017815655,0.000781298,0.000934418,120.66397153368457,118.94601266714054,114.72365733290154
213,11/4/2020,127.339996,0.021832329,0.00077967,0.00103253,122.8429090457293,121.09227416254556,116.80638474643666
214,11/5/2020,129.699997,0.018363425,0.000777424,0.001113516,125.56674587186991,123.78439326566851,119.40474233050564
215,11/6/2020,128.899994,-0.006187205,0.000774055,0.001079559,127.9044617691484,126.0889459648021,121.64318087587748
216,11/9/2020,128.949997,0.000387846,0.000770473,0.001076357,127.11554587719598,125.31731226221227,120.9025032855729
217,11/10/2020,127.709999,-0.009662648,0.000767452,0.001026868,127.17888959922146,125.38099551629001,120.9724055620955
218,11/11/2020,127.660004,-0.00039155,0.000763941,0.001020362,125.94399845264388,124.17021328870699,119.80295866514136
219,11/12/2020,126.639999,-0.008022103,0.000760824,0.000979072,125.89211028736496,124.12865749510173,119.77507158587157
220,11/13/2020,128.279999,0.012866959,0.000758005,0.001033108,124.89879113574715,123.14060147855669,118.827305922004
221,11/16/2020,130.110001,0.014164887,0.000755352,0.001092528,126.51612965927043,124.75035049666181,120.39247939858507
222,11/17/2020,132.210007,0.016011366,0.000752948,0.00115973,128.33840120125186,126.54797063498644,122.13120513097576
223,11/18/2020,131.630005,-0.004396626,0.000749709,0.001134813,130.41458821685748,128.5959921792461,124.12139412350982
224,11/19/2020,131.910004,0.002124908,0.000746366,0.001139233,129.84629454835166,128.037692349816,123.57440436972877
225,11/20/2020,132.979996,0.008078809,0.000743262,0.001170076,130.1409449455652,128.3365073332543,123.89533430085108
226,11/23/2020,134.130005,0.008610805,0.000740217,0.001202999,131.18883250749437,129.37588979793475,124.88683563377788
227,11/24/2020,134.699997,0.004240545,0.000736997,0.001216381,132.33799678182444,130.50710441606444,126.00967633516709
228,11/25/2020,135.539993,0.006216687,0.000733874,0.001238312,132.91686575371574,131.08374232429648,126.5852707063143
