,Date,KR,PDR,VAR,AVG,VAR70,VAR85,VAR99
233,12/3/2020,30.879999,-0.044648923,0.000437125,0.000320199,31.950969679802697,31.61340449546993,30.77887112310093
234,12/4/2020,30.58,-0.009762492,0.00043569,0.00027711,30.546483580930754,30.221792368040738,29.420919344485288
235,12/7/2020,30.950001,0.012026831,0.000434421,0.000327109,30.247613545524825,29.926407719325137,29.135621292874955
236,12/8/2020,31.299999,0.011245034,0.000433083,0.000373371,30.618477617774275,30.292105088703423,29.48947330741235
237,12/9/2020,31.209999,-0.002879541,0.0004313,0.000359646,30.966489628419886,30.63818091578611,29.826687353334403
238,12/10/2020,31.209999,0.0,0.000429489,0.000358135,30.875889822942735,30.549235867577977,29.7424750455287
239,12/11/2020,31.34,0.004156713,0.000427752,0.000374029,30.87754124290088,30.551290008751103,29.75049472189576
240,12/14/2020,31.299999,-0.001277171,0.000425981,0.000367149,31.006514104648907,30.679579416075196,29.876422929625534
241,12/15/2020,31.190001,-0.003520503,0.000424276,0.000351017,30.968143435539776,30.64275552756904,29.837345431542875
242,12/16/2020,30.969999,-0.007078601,0.00042275,0.000320316,30.858760464569624,30.534669549611667,29.734093242086487
243,12/17/2020,31.0,0.000968243,0.000421012,0.000322983,30.641241371721414,30.319321094402344,29.524561479845044
244,12/18/2020,30.870001,-0.004202334,0.00041937,0.000304436,30.672641961582652,30.35221924529432,29.55976337616415
245,12/21/2020,30.799999,-0.002270213,0.000417685,0.000293927,30.543099767504625,30.225415684189713,29.44028506669761
246,12/22/2020,30.889999,0.002917817,0.000416015,0.000304594,30.47442291461596,30.156891124152498,29.372561347696184
247,12/23/2020,31.389999,0.016056864,0.000415331,0.000368368,30.56572968124197,30.248358554357313,29.462809099034995
248,12/24/2020,31.530001,0.004450166,0.000413723,0.000384827,31.061193511889268,30.739877251783454,29.93948826910309
249,12/28/2020,31.389999,-0.004450166,0.000412155,0.000365409,31.201113743250463,30.87719504194852,30.077817093624702
250,12/29/2020,31.459999,0.002227527,0.00041052,0.000372858,31.062948481025913,30.74175543235368,29.94513605897118
251,12/30/2020,31.549999,0.002856691,0.000408909,0.000382754,31.131258488328744,30.810641729568683,30.01734371246643
252,12/31/2020,31.76,0.006634079,0.000407441,0.00040756,31.221551238415664,30.901790126526905,30.10411216272777
253,1/4/2021,32.130001,0.011582568,0.000406322,0.00045173,31.43220344042195,31.108139361967503,30.31031646258406
254,1/5/2021,31.9,-0.007184194,0.000404951,0.000421668,31.799510454702922,31.473208149474004,30.666274605645732
255,1/6/2021,32.209999,0.009670923,0.000403698,0.000457939,31.57122310495092,31.247202802323333,30.445005733209598
256,1/7/2021,31.82,-0.012181909,0.000402742,0.000408565,31.881308740650375,31.553869733499997,30.74613362424423
257,1/8/2021,31.629999,-0.005989017,0.000401334,0.000383672,31.492759786864408,31.170430498566166,30.373632458925
258,1/11/2021,31.76,0.004101631,0.000399832,0.000398082,31.306781279022736,30.988293395527833,30.194063279672772
259,1/12/2021,31.52,-0.007585371,0.000398533,0.000367258,31.432534950541726,31.112350915066862,30.321856485331224
260,1/13/2021,31.99,0.014801089,0.000397798,0.000422773,31.197663155555272,30.880430897237147,30.093109701823217
261,1/14/2021,33.139999,0.035317628,0.000400922,0.00055647,31.663100374661724,31.342246008070806,30.547368621576695
262,1/15/2021,33.700001,0.016756885,0.000400389,0.000618303,32.80575895767268,32.471054149719485,31.641309844593316
263,1/19/2021,33.619999,-0.002376769,0.000398901,0.000606915,33.36080995928783,33.02152677758422,32.18310471449458
264,1/20/2021,33.07,-0.016494571,0.000398494,0.000542137,33.283263649987454,32.945249008095516,32.110646880324346
265,1/21/2021,33.209999,0.004224478,0.000397041,0.000556032,32.735145130980214,32.402241317125686,31.577424413332547
266,1/22/2021,33.560001,0.010483906,0.000395917,0.000593355,32.87664607934424,32.54312531943344,31.718165532796455
267,1/25/2021,34.57,0.029651343,0.000397585,0.000702187,33.224422143709646,32.88640087729225,32.05009913891181
268,1/26/2021,37.07,0.069821763,0.000413862,0.000960096,34.22676303152943,33.880024879732524,33.02349777265739
269,1/27/2021,38.75,0.044322739,0.000419287,0.001121295,36.704006348770456,36.323229060481786,35.38070416499148
