,Date,PEP,PDR,VAR,AVG,VAR70,VAR85,VAR99
207,10/27/2020,139.119995,0.007648475,0.000634762,0.000115973,136.21660772788604,134.46050200607115,130.15282395369223
208,10/28/2020,134.169998,-0.036229196,0.000638031,-5.88e-05,137.26624213360785,135.50683583652147,131.15587529523071
209,10/29/2020,133.990005,-0.00134243,0.000634986,-6.49e-05,132.35097594916115,130.65447482229985,126.47378217078838
210,10/30/2020,133.289993,-0.005238055,0.000632089,-8.95e-05,132.18310544673568,130.49273154418253,126.32443506826446
211,11/2/2020,135.149994,0.013858075,0.000630011,-2.34e-05,131.49416764975638,129.80703419615278,125.66994355367116
212,11/3/2020,137.039993,0.013887575,0.000627948,4.22e-05,133.33744984910854,131.63383798348136,127.4380045019399
213,11/4/2020,137.860001,0.005965882,0.000625164,7e-05,135.216995431766,133.49743139519376,129.2421137573793
214,11/5/2020,138.050003,0.001377275,0.00062225,7.61e-05,136.02944100169728,134.30426695956112,130.03590600760774
215,11/6/2020,138.380005,0.0023876,0.000619381,8.69e-05,136.22391136830396,134.5000560479896,130.2503533647782
216,11/9/2020,138.449997,0.000505668,0.000616514,8.88e-05,136.55799069194202,134.8276085819495,130.55479873613533
217,11/10/2020,141.720001,0.023344059,0.000616154,0.000195957,136.62374420518913,134.9013219533367,130.66368045103488
218,11/11/2020,143.899994,0.015265285,0.000614364,0.000265083,139.88229155836805,138.11465563598117,133.75825828780273
219,11/12/2020,143.839996,-0.000417029,0.000611561,0.000261968,142.03728964356517,140.24139571370452,135.84325698387988
220,11/13/2020,144.710007,0.006030245,0.000608932,0.000288188,141.98387622673545,140.20336030980627,135.77949392023214
221,11/16/2020,145.759995,0.007229611,0.000606394,0.000319597,142.8515360128606,141.05085054074905,136.6189049530041
222,11/17/2020,145.240005,-0.003573818,0.00060373,0.000302059,143.89137160873634,142.0951947342721,137.65633974089215
223,11/18/2020,143.380005,-0.012889098,0.000601799,0.000242906,143.3792960317845,141.5911495564628,137.170061538897
224,11/19/2020,143.320007,-0.000418542,0.000599115,0.000239953,141.53094114428188,139.76707504044654,135.424153845409
225,11/20/2020,143.419998,0.000697433,0.000596453,0.000241986,141.4802959928647,139.7185065640233,135.39088711441767
226,11/23/2020,143.020004,-0.002792866,0.000593854,0.000228557,141.57752589892095,139.81882272617528,135.46591471715016
227,11/24/2020,144.029999,0.007037096,0.000591442,0.000258551,141.1953169100881,139.4448241243,135.12553382564084
228,11/25/2020,144.160004,0.000902217,0.000588849,0.000261374,142.197725845357,140.43724267365985,136.10092346464148
229,11/27/2020,144.600006,0.00304753,0.000586312,0.000273541,142.32423679193369,140.56093576614145,136.24099355846354
230,11/30/2020,144.229996,-0.002562131,0.000583797,0.000261212,142.7631796728431,141.00175905921438,136.68623143435676
231,12/1/2020,146.070007,0.012676787,0.000581935,0.000314959,142.4073956886336,140.65748479390535,136.33095768739912
232,12/2/2020,144.619995,-0.009976429,0.000579881,0.000270599,144.23245820051818,142.45893010271368,138.11248303018027
233,12/3/2020,144.449997,-0.001176172,0.000577401,0.00026439,142.8027184842261,141.0500472763492,136.7531490467862
234,12/4/2020,145.850006,0.009645331,0.000575308,0.00030448,142.6411865622746,140.89003446988275,136.61839406384428
235,12/7/2020,145.369995,-0.003296555,0.000572915,0.000289156,144.03356003993102,142.27479397298623,137.95517429355914
236,12/8/2020,145.520004,0.00103138,0.000570489,0.000292301,143.55773893717972,141.81091696190978,137.52431913016954
237,12/9/2020,145.690002,0.001167529,0.000568085,0.000295994,143.7124557397832,141.96925713390166,137.66410359681973
238,12/10/2020,144.669998,-0.007025818,0.000565923,0.00026523,143.88462872833784,142.1391306333238,137.83072179742578
239,12/11/2020,144.970001,0.002071559,0.000563569,0.000272788,142.8780006172035,141.15080912805303,136.88015357486293
240,12/14/2020,144.229996,-0.005117611,0.000561341,0.000250328,143.17076278662233,141.43552194472875,137.18407482788075
241,12/15/2020,144.770004,0.003737084,0.000559062,0.000264796,142.44505399490112,140.72561901896302,136.4863041827898
242,12/16/2020,144.889999,0.000828523,0.000556753,0.000267125,142.9914941363292,141.26431086825724,137.03006710406757
243,12/17/2020,145.710007,0.005643566,0.00055458,0.00028925,143.10821994460443,141.39142981011815,137.15256713038178
244,12/18/2020,146.929993,0.008337842,0.000552572,0.000322237,143.92641552063577,142.19783811903665,137.94502199682188
245,12/21/2020,145.399994,-0.010467711,0.00055079,0.000278196,145.13706527445134,143.39787849333175,139.13508489433656
