,Date,CHS,PDR,VAR,AVG,VAR70,VAR85,VAR99
184,9/24/2020,0.99,-0.020000667,0.005839754,-0.007150417,0.9603957216590471,0.9233576013359257,0.8366749274760008
185,9/25/2020,0.99,0.0,0.005808463,-0.007111766,0.9415973658772602,0.9054010112769665,0.8205059918579796
186,9/28/2020,1.01,0.020000667,0.005781165,-0.006966001,0.9417330822264186,0.90567905075602,0.8206508283245948
187,9/29/2020,0.98,-0.030153038,0.005753109,-0.007089996,0.9610134652582328,0.9245148169412728,0.8380183094361436
188,9/30/2020,0.97,-0.0102565,0.005722561,-0.007106839,0.9324781128306815,0.8968175635187453,0.8131426392927904
189,10/1/2020,0.97,0.0,0.005692549,-0.007069236,0.923043566083956,0.8880580121553175,0.8052188013195153
190,10/2/2020,1.0,0.030459207,0.005669961,-0.006871718,0.9231787368478961,0.8882014246902409,0.8055465021507597
191,10/5/2020,0.99,-0.010050336,0.005640328,-0.00688836,0.9520405030924197,0.916169764899485,0.8310769260947191
192,10/6/2020,0.92,-0.073331273,0.005633825,-0.007234417,0.9424443200910017,0.9067990124186222,0.8233013845711541
193,10/7/2020,0.98,0.063178902,0.00563019,-0.006869581,0.87574771773103,0.8427065335183523,0.7653109136768146
194,10/8/2020,1.04,0.05942342,0.005623705,-0.006527865,0.9331238839812742,0.8979531367250292,0.8153475899977696
195,10/9/2020,1.17,0.117783036,0.005673707,-0.005890373,0.9905845619728871,0.9533542375458218,0.8654137968155657
196,10/12/2020,1.16,-0.008583744,0.005644796,-0.005904115,1.1150017660026168,1.072724368925729,0.9731840165955824
197,10/13/2020,1.12,-0.03509132,0.005620444,-0.006052273,1.1053846864037977,1.0635439529773536,0.9654352139312641
198,10/14/2020,1.18,0.052185753,0.005609102,-0.005758142,1.06746669207641,1.0271484072354977,0.9325421465397755
199,10/15/2020,1.22,0.03333642,0.005588557,-0.005561686,1.1246317544058584,1.0824805409819305,0.9829152061331926
200,10/16/2020,1.21,-0.008230499,0.005560649,-0.00557503,1.163381743266831,1.1199209586469212,1.016346166233137
201,10/19/2020,1.19,-0.016667052,0.005533594,-0.005630215,1.1537897026464528,1.110539888768861,1.0089794646223162
202,10/20/2020,1.17,-0.016949558,0.005506831,-0.005686251,1.134856732305187,1.0924470560888118,0.9926855680187268
203,10/21/2020,1.13,-0.034786116,0.005483854,-0.0058296,1.1159045296235066,1.0743233677951982,0.9760482190720755
204,10/22/2020,1.17,0.034786116,0.00546502,-0.005630503,1.077573632361974,1.0376218961761263,0.943255940909737
205,10/23/2020,1.2,0.025317808,0.00544301,-0.005479536,1.1162243655535051,1.0748492644063399,0.9771014292947875
206,10/26/2020,1.19,-0.00836825,0.005416628,-0.005493559,1.1450069933444305,1.1025619250836212,1.0027759360754078
207,10/27/2020,1.09,-0.087775611,0.00542301,-0.005891057,1.1357020965582467,1.0936294570839693,0.9940302203262197
208,10/28/2020,1.07,-0.018519048,0.005397701,-0.005951768,1.0397667952495788,1.0012751003151021,0.9105673926440027
209,10/29/2020,1.05,-0.018868484,0.005372669,-0.006013571,1.020710793769396,0.9830623050138956,0.8942720244795553
210,10/30/2020,1.07,0.018868484,0.005350019,-0.005895085,1.001793184006441,0.9650560193627834,0.8772902473791628
211,11/2/2020,1.11,0.036701367,0.005333222,-0.005693206,1.0209372857536285,0.9832938358378827,0.8947403149508151
212,11/3/2020,1.23,0.102654154,0.005363177,-0.005182133,1.059345560059854,1.020616670166261,0.928680360716406
213,11/4/2020,1.22,-0.008163311,0.00533804,-0.00519613,1.1743276623267085,1.1310687567813142,1.0288959658187895
214,11/5/2020,1.27,0.040166042,0.005322666,-0.004984157,1.165018975708824,1.122215390757636,1.021501005531688
215,11/6/2020,1.41,0.104572804,0.005353477,-0.00447459,1.2129614028161857,1.168404053071907,1.063572099370836
216,11/9/2020,1.51,0.068519946,0.005353245,-0.004136652,1.3470486454605,1.2973214577010321,1.1812296063431527
217,11/10/2020,1.41,-0.068519946,0.00534759,-0.004433349,1.4434391531865358,1.3902209436534754,1.2649896208383138
218,11/11/2020,1.37,-0.028778965,0.005325766,-0.004545026,1.347304751507296,1.2976419369887988,1.181114774243713
219,11/12/2020,1.31,-0.044783603,0.005308807,-0.004728764,1.3088599495827542,1.2608841369415726,1.1476743161313572
220,11/13/2020,1.37,0.044783603,0.005295769,-0.004503708,1.251494239391036,1.205445550990453,1.0976757014895726
221,11/16/2020,1.45,0.056752817,0.005288708,-0.004226529,1.309567753798428,1.26182933763706,1.1490096204061713
222,11/17/2020,1.5,0.033901552,0.005271404,-0.004054781,1.386405143766955,1.335705083041605,1.215776196180165
223,11/18/2020,1.77,0.165514438,0.005376128,-0.003294381,1.4342027605751897,1.3818198528234968,1.2584968861019714
224,11/19/2020,1.8,0.016807118,0.005353923,-0.003204642,1.6929800630933614,1.6308201252262424,1.4830763976736145
225,11/20/2020,1.7,-0.057158414,0.005343008,-0.003444436,1.7220900145188187,1.6586385969014987,1.5088142942157334
226,11/23/2020,1.77,0.040351296,0.005327816,-0.00325065,1.6259588451070417,1.56642783937088,1.4252339628852906
