,Date,FNMA,PDR,VAR,AVG,VAR70,VAR85,VAR99
178,9/16/2020,2.04,-0.009756175,0.002092874,-0.002752935,2.003373092377564,1.9569442706662061,1.8441293117281081
179,9/17/2020,1.99,-0.024815169,0.002083886,-0.002876188,1.9842457995227185,1.9381703396361107,1.8268443226840367
180,9/18/2020,2.04,0.024815169,0.002076546,-0.002722347,1.93535352859501,1.890572342358856,1.7822651345848115
181,9/21/2020,2.0,-0.019802627,0.002066676,-0.002816713,1.9844599413652813,1.93865752441325,1.8281755798609496
182,9/22/2020,2.03,0.014888612,0.002057033,-0.002719431,1.9453633316015277,1.9005093342023933,1.7929024292648885
183,9/23/2020,2.01,-0.009901071,0.002046073,-0.002758675,1.9747816742632713,1.9293701631124727,1.8199598334092393
184,9/24/2020,2.04,0.014815086,0.002036622,-0.002663166,1.9554006337549596,1.9105477019982526,1.801834261754869
185,9/25/2020,2.04,0.0,0.002025652,-0.00264877,1.9849472130879857,1.9394365797725548,1.8298923313212458
186,9/28/2020,2.07,0.014598799,0.002016352,-0.002556041,1.9852142191059146,1.939903588895506,1.8308236085106706
187,9/29/2020,2.04,-0.014598799,0.002006341,-0.002620441,2.0146103890635674,1.9690411273041464,1.857854872525084
188,9/30/2020,2.02,-0.009852296,0.001995945,-0.002658908,1.98567793748169,1.9406805563332234,1.8311789806760153
189,10/1/2020,2.04,0.009852296,0.001986209,-0.002592712,1.9659859255534324,1.9215438556960767,1.8137867936563796
190,10/2/2020,1.98,-0.029852963,0.001979646,-0.002736187,1.9856248189311547,1.9408523952969399,1.8325251525889192
191,10/5/2020,2.04,0.029852963,0.001974812,-0.002565563,1.9271836919449652,1.8838912815363649,1.779185792249948
192,10/6/2020,2.04,0.0,0.001964561,-0.002552201,1.9859650341241748,1.941421964139882,1.833408298166087
193,10/7/2020,2.04,0.0,0.001954415,-0.002538977,1.9861917600109826,1.9415438120647035,1.8339577759002195
194,10/8/2020,2.03,-0.004914015,0.00194437,-0.002551219,1.986304231793645,1.9417826787813857,1.8340862303546839
195,10/9/2020,2.05,0.009804,0.001935178,-0.002487859,1.9767784983700067,1.9327298240268151,1.8250713229812314
196,10/12/2020,2.04,-0.004889985,0.001925334,-0.002500115,1.9961422121411265,1.9517473774164311,1.8439194888231898
197,10/13/2020,2.03,-0.004914015,0.00191559,-0.002512368,1.986723995822488,1.9424111841667226,1.835694492907977
198,10/14/2020,2.0,-0.014888612,0.001906685,-0.002574874,1.9769978575813014,1.9331019923634614,1.8263187812338817
199,10/15/2020,1.98,-0.010050336,0.001897383,-0.002612439,1.948052365863989,1.9049509727630767,1.800356137406796
200,10/16/2020,1.97,-0.005063302,0.001887926,-0.002624694,1.9284762114532863,1.886061648376562,1.7830167801523318
201,10/19/2020,2.0,0.015113638,0.001880091,-0.002536443,1.9187480338505511,1.876411526162672,1.774140472369619
202,10/20/2020,2.02,0.009950331,0.001871552,-0.002474628,1.9483072507495443,1.905363274732824,1.8018083559623863
203,10/21/2020,2.02,0.0,0.001862362,-0.002462437,1.9680147256584235,1.9248796498374752,1.8202341247783196
204,10/22/2020,2.02,0.0,0.001853262,-0.002450367,1.9681818684876098,1.9250839459629618,1.8209128127334966
205,10/23/2020,2.01,-0.004962789,0.001844253,-0.002462622,1.9683795975966891,1.9253536921810104,1.8212379356085198
206,10/26/2020,1.97,-0.020101179,0.001836803,-0.002548246,1.9586396102093644,1.915808283353368,1.8130079855827157
207,10/27/2020,1.98,0.005063302,0.001828208,-0.002511476,1.9194953396780583,1.8778444199005757,1.7770175642570958
208,10/28/2020,1.93,-0.025576842,0.001821964,-0.002622367,1.929353394463385,1.8874942753640882,1.7859841616596632
209,10/29/2020,1.93,0.0,0.001813279,-0.00260982,1.880672533983878,1.8400115564022066,1.7412556372861479
210,10/30/2020,1.88,-0.026248226,0.001807293,-0.002722383,1.88075915475838,1.8399572438605676,1.7411927352883176
211,11/2/2020,1.87,-0.005333346,0.00179876,-0.002734758,1.8319497715762134,1.7924385818549453,1.6968086122494683
212,11/3/2020,2.03,0.082097362,0.00182406,-0.002334606,1.8224163455990274,1.7832237798543924,1.6884284306338309
213,11/4/2020,1.9,-0.066181907,0.001834545,-0.002634359,1.978498113699801,1.9356019800521431,1.8316452246723838
214,11/5/2020,1.85,-0.026668247,0.001828659,-0.002746667,1.8511137159719477,1.8110069622972276,1.7143280218207964
215,11/6/2020,1.86,0.005390849,0.00182046,-0.002708818,1.8023874709117051,1.7633891240680302,1.6689764616193246
216,11/9/2020,1.91,0.026526754,0.001815971,-0.002573468,1.8123714157532445,1.7733081055025965,1.6784448349239627
217,11/10/2020,1.88,-0.015831465,0.001808409,-0.002634565,1.8613834955543378,1.82113312870591,1.7238234511837396
218,11/11/2020,1.89,0.005305052,0.001800401,-0.002598144,1.831964723729533,1.7924320700512786,1.6965892821637705
219,11/12/2020,1.88,-0.005305052,0.001792214,-0.002610505,1.841986615870051,1.8024560026944096,1.7067273361329647
220,11/13/2020,1.88,0.0,0.001784098,-0.002598639,1.8323455506444564,1.7930233540386167,1.6981416324984056
221,11/16/2020,1.84,-0.021506205,0.001777635,-0.002684193,1.832539020355349,1.7931707432092427,1.6978049543708738
222,11/17/2020,1.86,0.010810916,0.001770445,-0.002623405,1.7932481265471967,1.7550433138589758,1.6620930395336393
223,11/18/2020,1.9,0.021277398,0.001765056,-0.002516226,1.8130495898770813,1.7744074247925128,1.6806616594485504
224,11/19/2020,1.87,-0.015915455,0.001757974,-0.002576044,1.8522202836395552,1.8127372894104092,1.7174502154289917
